id,FalseSent,OptionA,OptionB,OptionC
456,I am ill so I need to see an actor,The actor is able to help you when you are ill,an actor can't cure your disease,the actor is good-looking
457,I work hard so I fail the exam finally,I will be awarded by my parents if I pass the exam,students will fail the exam if they work hard,students will pass the exam if they work hard
458,I finished my work late last night so I am energetic now,people will be energetic if they do less work,people will be tired if they do too much work,people will be tired if they sleep enough
459,it is summer so I need to put on more clothes,wearing too many clothes are too tiring,wearing too many clothes in summer is unaffordable,wearing too many clothes makes you feel very hot and uncomfortable
460,I get up too early so I will be late for school,getting up late is a bad habit,getting up early is a good habit,you will have enough time to go to school if you get up early
461,I am hungry now so I am going to a hospital,there are doctors in the hospital,the restaurant is the place for eating,there is a restaurant in the hospital
462,the food tastes awful so I want to eat it again,the food my mother cooks tastes good,I like trying various food,no one wants to eat awful food again
463,most grasses are black,grasses will be eaten by cows,grasses help carbon cycle,the color of black can't help grasses living well
464,we meet whales in the forest,whales live in the sea and there is no sea in the forest,whales can breathe in air,a whale is a kind of mammal
465,he put out the fire with oil,oil is a kind of liquid,oil makes the fire,the color of the oil is yellow
466,he often listens to the video,videotapes have limited content,a video include the information of vision mainly,it is not convenient to keep
467,there is a sea in the front of the classroom,sea water is salty,a sea is not necessary for a classroom,a sea is too expansive to be inside the classroom
468,we take photos of willow catkins in winter,willow catkins are the seed of willow,willow catkins usually only appear in spring,the color of willow catkins is white
469,he uses a bamboo basket to fetch water,water is transparent,a bamboo basket is too light,a bamboo basket leaks water
470,They feel warmer after the snow,snow will absorb heat when it melts,they wear less when the snow stopped,they have not seen the sun for many days
471,He cut metal with scissors,the metal is too hard to cut with scissors,some parts of scissors are made of metal,some scissors' quality is low
472,my family fly kites on rainy days,the wind is not strong enough in rainy days,they feel cold on rainy days,kites can hardly fly high in rainy day
473,An ant knocked down a tree,ants are animals while trees are plants,an ant is too weak to do that,trees can't crawl like ants
474,they search penguins in the Arctic,penguins only live in the Antarctic,the Arctic is warmer than the Antarctic,penguins can not fly
475,we hear thunder first in thunderstorm days,the time of lightning is short,light travels much faster than sound,the voice of thunder frighten some people
476,the cat caught a tiger,the volume of a cat is smaller than the volume of a tiger,cats can not eat a tiger,tigers are stronger than cats
477,some fish are flying in the sky,fish can not live without water,fish have no wings,fish often swim in groups
478,he built a snowman on a summer day,the summer is the hottest season in a year,there are few snowy days in the summer,the snowman is white
479,most plants provide carbon dioxide for the human,many kinds of plants are green,most plants turn carbon dioxide into oxygen,too much carbon dioxide is harmful to human
480,wheat grows in the ocean,there is no soil for wheat to grow up in the ocean,the water in the ocean is too salty,wheat needs sunlight when growing up
481,he saw eight colors when the rainbow appears,the rainbow is made up of seven colors,the rainbow only appears for a few seconds,red is the first color in the rainbow
482,thirst would make you want to sleep,sleep cannot relieve the feeling of thirst,sleeping too much is not good for your health,sleep relieves the feeling of toil
483,People can grow black hair all the time,Hair is very important to us,The hair may be getting thinner and thinner,When people grow old their hair turns white
484,African skin is mostly white,Africans have more melanin in their skin,Africa is usually not rich,Many Africans are good at sports
485,close relatives can marry,The DNA of close relatives is similar,The children of close relatives may have many defects and are not ethical,Close relatives often share a common ancestor
486,Goldfish usually sleep with their eyes closed,Goldfish have no eyelids,The goldfish is beautiful,Goldfish are usually used to decorate houses
487,the color of Animal blood includes only red,Spider blood is turquoise,Blood is important to us,Human blood is red
488,All animals are active in winter,It can be very cold to come out in winter,Bears hibernate in winter which reduces energy loss,In cold places people wear thick clothes in winter
489,All insects have no sense of smell,Many insects can smell with their antennae,Insects generally smell bad,Some insects are edible
490,The fish is sweet,Fish cannot live without water,The skin of a fish smells fishy,Fish have scales
491,The turtle usually lives very short,Turtle metabolism is slow and its vitality is very strong,The turtle walks slowly,The turtle has a hard shell
492,Leaves grow on trees forever,Leaves are important to trees,"When the leaf gets old, it will fall from the tree",Leaves have many colors
493,Bones are soft,there are bone marrow in bones,Bones contain a lot of minerals that make them hard,Bones can be turned into ashes
494,the Fire has only one color,Fire is an important material of human civilization,fire's color is usually red,burning with Different chemicals will produce different colors
495,Silverware is bad for food,Silver can be used for jewelry,Silver is expensive,Silver can kill bacteria
496,The seawater is blue,The seawater is salty,Seawater has no color,There is a lot of seawater
497,Seawater is drinkable,Seawater is unhealthy,Seawater is drinkable,there are too much salt in seawater
498,We usually hear thunder first and then see lightning,Light travels faster than sound,Thunders are generally scary,Lightning sometimes hurts people
499,Human tears are generally sweet,People usually shed tears when they are sad,Little children like to cry,Tears contain salts
500,Cats generally like to eat vegetables,Cats need taurine from fish,Fish is delicious,Vegetables are nutritious
501,The audiences of concerts are usually noisy,Attending a classical concert need a ticket,Concerts are usually elegant,If the audience is noisy the music cannot be heard
502,wild geese fly north in winter In the northern hemisphere,the winter in The north of northern hemisphere is cold and not suitable for wild geese,wild Geese migrate in flocks,Wild geese can fly high
503,"In nature, the leaves of all plants are oval",The leaves of plants are usually green,Some plants have round leaves,Some of the leaves of plants are edible
504,There may be more polluted after the rain,Rain makes the mood worse,Some people don't like rain,Rain can absorb pollution
505,The Olympic Games for the disabled,The disabled will participate in the Paralympic Games,The Olympics are for all athletes,The disabled are normally shy
506,Cloth bags can hold water,Water can leak out of the cloth bags,Liquid will spill from cloth bags,We can't live without water
507,when it snows it isn't cold,Snow should exist at low temperatures,It often snows in the Antarctic,The snow is white
508,I am born in Japan so I am Chinese,Japan famous for its cartoon in the world,Japan is located in the east of Asian,people who are born in Japan are Japanese
509,humans walk with four legs,cats walk with four legs,humans only have two legs,humans usually walk wearing shoes
510,a car is a kind of animal,I go to school by car,most animals are very cute,Cars are lifeless
511,sea water is sweet,I love swimming in the sea,Children like to eat sugar,Sea water contains salt instead of sugar
512,If you want to go on the internet then you should buy a book,Books can't connect to the Internet,We can get knowledge from books,I love reading books
513,Christmas is the thirteenth month of the year,There are only twelve months in a year,Thirteen is not a lucky number,I like Christmas
514,we can judge whether one can buy a beer by his height,It is difficult to judge a person's height by age,he is taller than his father,It is difficult to judge a person's age by height
515,Peace brings suffering,people can develop steadily without hurting others,War life is everyone's hope,I went through World War
516,parents hate their kids,most parents get along well with their kids,most parents get along well with each other,I love my parents
517,If you want to sleep you need to go to bathroom,the bathroom is cleaner than the bedroom,the bedroom is bigger than the bathroom,The bathroom is for bathing
518,a pig can lay eggs,Birds are not mammals,Pigs are mammals,Pigs are very smart
519,I love music so I play basketball every day,Basketball is not an instrument,playing basketball is not interesting,I hate watching basketball games
520,Raincoats are used on sunny days,The raincoat is too heavy,There's no need to wear raincoats on sunny days,I often play basketball on sunny days
521,nurses teach students,there are many nurses in the hospital,The duty of a nurse is to take care of patients,most nurses are women
522,My grandmother is so mean that everyone likes her,One of my teachers is mean to me,Nobody likes mean people,I am very friendly to my classmates
523,we develop our friendship by fighting with each other,Fighting will be criticized by teachers,I chat with my classmate in class,Fighting does not enhance our friendship
524,an eraser can be used to write on paper,I have two pens,I do not have an eraser,an eraser is an implement used to erase something
525,I study at the party,I sing very well,A party is not a place to learn,I hate studying
526,The south pole is very hot,The temperature in Antarctica is very low,I love winter,The equatorial temperature is higher than that of the Antarctic
527,Ordinary cars have no wheels,wheels are sold in car shops,My truck has six wheels,A car can't move forward without wheels
528,Ears are for seeing,I love listening to music,Eyes are for seeing,I am blind
529,I talk to Chinese native speakers to improve my English speaking,Chinese are very kind,China is located in the east of Asia,speaking Chinese can not improve your English speaking
530,The words are so big that I cannot read them clearly,My handwriting is poor,Larger words are easier to read,My house is very big
531,I sleep every day to exercise,I get up early every day,sleeping is not able to build up your body,I can run very fast
532,I ran so slowly that I won the championship,I walk so slowly that I am late for school,I run every day to exercise,You cannot win the championship if you run too slowly
533,Tragedy makes me laugh,Tragedy usually makes people cry,I love watching comedy and hate watching tragedy,Comedy is more interesting than tragedy
534,I like art so I majored in mathematics,my mother dislikes art,if you dislike art you are not supposed to major in art,if you like art you need to major in art
535,I am poor so I can buy a Lamborghini,the Lamborghini is expensive,There is a big gap between rich and poor in world,There are many billionaires in China
536,snakes are able to fly,Birds are able to fly,Snakes have no wings,My father is good at swimming
537,the paper is made from soil,the paper is white while the soil is brown,soil cannot provide wood fiber for paper,it is very complicated to produce the paper by using soil
538,we use soap to clean our hair,our hair needs our care,the ingredients of soap are not suitable for cleaning our hair,soap is slippery
539,a rabbit can eat a frog,some kinds of frogs are poisonous,rabbits are vegetarian so that they do not eat the frog,a frog is too big for a rabbit to eat
540,we often wear a scarf in the summer,a scarf is used in cold weather to keep warm,a scarf is too thick,summer is a season for short skirt
541,A student will die if he doesn't pass the exam,It is a great pleasure to get a score of one hundred,Most students dislike examinations,Even if a student does not pass the exam it can only be said that his grades are not good
542,it's possible to ski in sahara,The Sahara is hot and there is no snow,The Sahara has a lot of sand,The Sahara is not fit to live
543,Smuggling drugs will be commended,Drugs can be synthesized by chemical methods,It is illegal to smuggle drugs,Some drugs can be used as medicine
544,the firstborn child is youngest and other children are older,The earlier he is born the older he is,We were born with our eyes closed,Birth means a new birth into the world
545,It costs very little to buy gold,Gold is very expensive,Gold can be made into jewelry,The density of gold is very high
546,If you want to sew then you should get a gun,Guns can be used to kill people,Guns are not used to sew clothes,guns are hard to get
547,Sometimes people put shoes on their hands,hands are more flexible than feet,The average person needs to put on a pair of shoes,Shoes are usually put on feet
548,"When you are near-sighted, you can't see things near at hand",Nearsightedness is the inability to see at a long distance,if you get Nearsightedness you need glasses,Nearsightedness is normal in highly educated people
549,People can live without food for a long time,Searching for food is the instinct of animals,Without food people can only live for a short time,if we eat healthy food we will live longer
550,The clothes will be dirty after being washed,The stain can be removed by washing,Washing clothes usually involves washing powder,You may use a washing machine
551,we can just wait for their self-healing after we break our legs,You can't get over a broken leg without treatment,The broken leg is very painful,We all hope to have a pair of healthy legs
552,Being sedentary is a good thing,When we use the computer we will usually sit down,We wanted to sit down after standing for a long time,Sitting for long periods may cause hemorrhoids
553,a Dog usually bite acquaintances when it sees them,Dogs do not usually bite their masters,Dogs are human's friends,dogs are good at biting
554,Ripe apples are hot,Apples grow on trees,Ripe apples have a lot of moisture in them,Ripe apples have a lot of sugar in them instead of capsaicin
555,All the birds can fly,Most birds have wings,Birds like to eat worms,An ostrich cannot fly
556,People usually don't use pillows when they sleep,People can sleep without pillows,Pillows can make people sleep more comfortably and healthy,Pillows are usually soft
557,People usually don't use tableware when they eat,Tableware makes eating more convenient,Tableware is not a necessity for eating,Chopsticks are a kind of tableware
558,people eat their lunch in the bathroom,people can eat lunch in restaurants,People usually wash and rinse in the bathroom,the space of the bathroom is usually small
559,People usually wash their hair with toothpaste,People can wash their hair after brushing teeth,Toothpaste is usually white,Toothpaste is specially used for brushing teeth
560,The moon is brighter than the sun,the moon just reflect the light of the sun,The sun is bigger than the moon,The sun is hotter than the moon
561,People usually lie on chairs,Chairs usually have many legs,Most chairs are made of wood,Most chairs are smaller than people and lying on chairs may be dangerous
562,I opened the wardrobe to illuminate the room,Wardrobes usually can't shine,Wardrobe can be used to preserve clothes,People usually put a wardrobe in their room
563,Men usually use lipstick,Lipsticks are cosmetics and men usually don't wear makeup,Lipstick can make people look better,Lipsticks are usually colorful
564,Vegetarian usually like eating meat,Meat is obtained by killing animals,Most vegetarians only eat vegetables and fruits,Meat can provide energy for people
565,Dogs can eat chocolate,Chocolate is poisonous for dogs,people can eat chocolate,Dogs can't eat stones
566,We can't know the time through the watch,Most watches have a dial,people may know the wrong time by their watch,A watch is a timing tool
567,People usually eat the peel of the watermelon,Watermelons are usually spherical,Watermelon peel is usually green,Watermelon peel is so hard that people usually can't bite it
568,Everyone can eat peanuts,Peanut is a kind of nut,Human teeth are harder than peanuts,Some people are allergic to peanuts
569,People usually can't smell the fragrance of jasmine,Some flowers are fragrant,Jasmine has white flowers,Jasmine usually has a strong fragrance
570,Only a few people with cancer die,Older people are more susceptible to cancer,No one wants cancer,Cancer is hard to cure
571,People can take drugs at will,the Drug is prohibited in most countries,Some drugs can be used in hospitals,Some drugs excite people
572,Hens can give birth to chickens directly,Hens only can lay eggs and eggs may become little chickens,cocks can't give birth to chickens,women can give birth to human babies
573,The tortoise usually runs faster than the rabbit,Rabbits usually have powerful legs and tortoises are slow,The rabbit has four legs,The tortoise lives in the water
574,Students shouldn't do homework,Doing homework is the basic responsibility of the student,Students should go to bed early,Homework is arranged by teachers
575,Most people like snakes,Snakes have no feet but humans do,People can eat snakes,Most snakes bite human and some snakes are poisonous
576,I have the same fingerprints as him,Different people have different fingerprints,The fingerprints of the same person are different,the Fingerprint is one of the characteristics of human beings
577,only the male can be a Marathoner,Marathoners are generally strong,there are many people participating the marathon,there are also female Marathoners
578,People can't find others lying,Lies can sometimes be kind,A lie can sometimes break,a lie can't be a good thing anytime
579,A dermatologist can cure heart disease,Heart disease is usually a big threat,Heart disease needs to be treated by a cardiothoracic doctor,if you Have heart disease you should go to a hospital as soon as possible
580,We can hurt others at will,When we are hurt by others we should go to the police,We don't want to be hurt,It is illegal to hurt someone at will
581,All oranges are sweet,Orange contains sugar,sweet oranges are usually yellow in appearance,some Green oranges are very sour
582,People often eat in the toilet,the toilet stinks,Toilets are used for excretion,Sometimes it's hard to find a toilet
583,A chair usually has three legs,Chairs are for sitting,A chair with three legs will not stand,Some chairs are very soft
584,Many people drink coffee to sleep,Coffee is a drink made from substances extracted from coffee berries,Coffee is so bitter that it keeps people from sleeping,coffee keeps people awake
585,We put food in the washing machine,In life the washing machine brings us a lot of conveniences,The washing machine needs electricity to operate,The washing machine is used for washing clothes
586,Hot dogs are dogs,Some people like hot dogs very much,A hot dog is a kind of food instead of the animal,Dogs like to eat hot dogs
587,We can work eight days a week,A normal week has two days off,There are only seven days in a week,People usually work five days a week
588,Poor sleep can lead to high energy levels,Sleep is necessary for the human being,After enough sleep we can be invigorated,People spend a lot of their lives sleeping
589,Getting a Ph.D. is an easy task,PhDs are usually talented people,A doctor's degree is the highest degree,It usually takes a lot to get a Ph.D. qualification
590,I take a sickle to cut wood,The sickle is generally made of iron,The sickle is for cutting grass,A sickle is generally sharp
591,Burning garbage makes the environment better,Protecting the environment is an important thing,Burning garbage produces many substances harmful to the environment,For the environment of the earth we must stop burning garbage
592,The sun ceases to shine at night,The sun has ultraviolet rays,The sun provides the earth with a lot of energy,At night the sun is on the other side of the earth
593,the Diabetic can eat candy at will,Nowadays diabetes is still a difficult disease to cure,Candy is sweet,Diabetes can be aggravated by eating sweets
594,"If people have something urgent to go to a place, they usually walk",walking is too slow for something urgent,people don't have four legs,walking is free of charge
595,You can use the air conditioner without electricity,An air conditioner can be used for cooling or heating,The air conditioner can be cheap,Air conditioning requires electricity to operate
596,Most people don't need friends,Even best friends will betray you sometimes,Friends can sometimes help you a lot,Man is a social animal and needs friends
597,Trees can have no bark,The bark is rough,Some bark can be used as a precious medicine,A tree without its bark will die
598,You can find two identical leaves,Leaves provide nutrients to plants through photosynthesis by sunlight,the lines of leaves are totally random and different,Leaves are usually green in spring
599,the sun will stay on all day,The sun will set at night,There are twenty-four hours a day,You can do many things in a day
600,Most people like mice,Mice like to dig holes,Mice have a long tail,Mice are a kind of pest
601,You can drive on the highway without a driving license,driving without a driver's license is against the law,Driving skills are very important in today's society,On the highway the car runs fast so we have to drive carefully
602,You can find the statue of liberty in France,The statue of liberty is very big,France is called the capital of romance,The statue of liberty is in America
603,People don't need to wear clothes,Clothing plays a lot of decorative roles and we can buy a variety of styles of clothes,In cold weather you may be frozen to death without clothes,Clothes have more and more styles
604,Most people don't forget things anytime,Most people's brains can't remember everything forever,Sometimes it's good to forget,Forgetting may mean missing out on something important
605,Ugly boys are more likely to find girlfriends,Sometimes a beauty is not charming,Girls generally prefer handsome boys,A girlfriend may be a future wife
606,When we get sick we go to school,the school is responsible for the safety of food,We can learn a lot when we go to school,the school usually can't cure patients well
607,"When we want to listen to the song, we can use a USB plate",The USB plate is cheap now,The USB plate is used to store information,The USB plate cannot directly play music
608,We can observe a star with a microscope,The microscope's focal length is small,Microscopes are too small,The microscope is generally inconvenient
609,Fire is common in the sea,There are all kinds of fish and plants in the sea,it is hard to fire with so much water,There is a lot of resources in the sea
610,People who are allergic to potatoes can eat chips,Potato chips are usually Fried foods,Potato chips are junk food so eating them is not recommended,Potato chips are commonly made from potatoes
611,Mars is suitable for human survival,Mars is smaller than the earth,The United States has explored Mars in recent times,Mars lacks the resources of human existence
612,A working guitar can have no strings,a Guitar can play wonderful music,A guitar voices by its string,A guitar can be carried on your back
613,"When something breaks, we can glue them with water",Water has no viscosity,When something breaks we might replace it,You may be scolded for breaking things
614,Germinated sweet potatoes can be eaten,sweet potatoes don't look good,"Sweet potatoes are usually very sweet, some people like it very much",Germinated sweet potato have poison
615,All flowers have fragrance,Ordinary flowers are more fragile,Some flowers do not emit fragrance,Generally speaking the fragrance is more attractive
616,All trees lose their leaves in autumn.,The weather is usually better in autumn.,Pines do not fall in autumn,The sky is higher in autumn.
617,males are found at beauty salons more often than females,Men are more likely to play games than women,females generally pay more attention to outlook than males,females often go shopping
618,apple juice is made of bananas,bananas are delicious,Apples are delicious and nutritious fruits,apples can make apple juice
619,the Heartbeat is slower in children than in adults normally,Every beat of the heart takes about one second,The younger the person is the faster the heart beats,"Babies jump one hundred and eighty times a minute, juveniles ninety times a minute, and adults about seventy times"
620,a baton is used for playing music,The baton is used to direct the orchestra,the baton is made of wood,there is always a Conductor in an Ordinary band to command band
621,You can see the pine trees blooming,Pines have few flowers and no petals,Pines are evergreen all year round,Pine trees are useful for wood and other purposes
622,Clouds have no color,The refraction of light causes clouds to seem not transparent,Some clouds are beautiful and have many shapes,In cloudy weather sometimes we can't see a single cloud in the sky
623,the sky is blue in the evening,the ocean is blue in the morning sometimes,the sky is blue in the morning sometimes,there is no sunshine at night
624,I go to work to earn time,International companies will spend your more time,I have a lot of time,the company spends money on my time
625,My hair is too short so I need a haircut,my hair is pretty short,It is not necessary to cut too short hair,some people are good for long hair
626,People think more efficiently in noisy environments,I do my homework more efficiently at home,I am used to doing my homework in quiet evenings,noise can interfere with their thinking in a noisy environment
627,I'm grazing tigers,Tigers are carnivores and not tame,Tigers can not disgust grasses,Tigers are very dangerous
628,Working all day is very relaxing,working without rest is tiring,Doing homework all day is very tiring,Playing computer games is a good way to relax
629,A table is a comfortable place to sleep,there are 5 beds in my house,there is a table next to my bed,a table is too hard that you can't fall asleep on it
630,Something you find at the airport is a ship,a ship is always close to the sea and the airport is far from the sea,The chances of seeing an airplane at the parking lot are low,The chances of seeing a ship at the Parking lot are low
631,losers can get prizes,No one can be a perpetual loser,You take the first place and you're the winner,Losers usually don't have any prizes
632,smoking is good,My father only smokes good cigarettes,cigarettes are expensive,Too much smoking can lead to lung cancer
633,I will confirm my email through my radio,I love playing computer games,Computers are more expensive than radios,The radio can't connect to the Internet
634,air is charged,Electricity is charged,Every day in hawaii the air is fresh,We can access air on earth freely
635,the bike is a new invention,bikes were invented hundreds of years ago,Every day new things are invented,my bike is very old
636,There is water in the pen so we can write,the Ink contains water,We usually do not use water to write,Water is an important element of the human body
637,I like European culture because I traveled to Canada last year,London is in the south of England,Canada is to the north of the United States,Canada is located in North America
638,The last thing you do when you visit a museum is buying a ticket,I was the last one to enter the museum,You need to buy a ticket before you enter the museum,I was the first one to enter the museum
639,many people can feel that death is the start of life,some people may expect death,death is a necessary state of life,Birth is the beginning
640,An apple is an animal,I eat an apple every day,Apple is a kind of fruit,Pigs are very smart
641,television is a device you use to contact people,the television is used to watch movies,Every family has a television,television is very useful
642,you would buy French fries because they are healthy for you to eat,I like eating fresh fruits,I don't like French fries,French fries are junk food
643,a person wants to buy ugly things,Nice clothes will cost more,My mother bought me some nice clothes,People do not like ugly things
644,a joke can make you cry,I like all kinds of jokes,A joke is for people's laugh,I can remember the funny jokes my mother told
645,a ruler can be used to cut things,The ruler is not sharp enough to cut things,There are several rulers on my desk,The ruler is a kind of stationery
646,The snow is dry,I do not like wet weather very much,It is dry these days,Snow melts into water
647,The desert is full of water,The desert is deserted,The water in the desert has been steamed dry,the hump is full of water
648,the universe is very small,The earth is very large,The universe is still unknown to humans,It is impossible for human to reach the edge of the universe
649,car engines can use air,I hope I can breathe fresh air every day,Air can't power cars,air is a kind of renewable resource
650,Time is static,This car is stationary,My appearance has been changing,Time is different from time to time
651,The car is driving slowly on the highway,There are so many cars on the highway that we have to be careful,I drive very slowly,The law prohibits cars from driving too slowly at high speed
652,Wallets can be used to put computers.,Computers are bigger than wallets.,I usually use my computer to watch films.,It costs a lot to buy a computer.
653,College is usually free,Most universities need tuition fees to sustain themselves,Those with high grades can go to college,There will be scholarships in universities
654,Children can play with guns,Guns can be used to hunt,Some soldiers can use guns,Guns are very dangerous tools
655,Eating too much often makes people thin,Fat people like to eat,Human beings can turn sugar into fat,little exercise makes people fat
656,Music is usually hated by people,Some people can create music,Some music relaxes people,Music usually has a pleasant melody
657,People usually drink black milk,Drinking milk is good for the human body,Milk comes from cows,black music is likely to spoil
658,We can see dinosaurs playing with people,Dinosaurs have been extinct already,Dinosaurs may eat people,Most dinosaurs are stronger than humans
659,We can visit the website through books,Books are not tools for surfing the Internet,We can look up information through books,We can visit the website through smart phones
660,We can write on paper with an eraser,People can use erasers to help correct the wrong words,Erasers are usually used to erase handwriting,Erasers are usually made of rubber
661,Adults usually like toys,Most toys are cute,Adults have more money to buy toys,Most toys are designed for children
662,We can buy human in the supermarket,We can buy a lot of things in the supermarket,It is illegal to buy and sell human beings,the Supermarket can make people's life more convenient
663,Humans usually like viruses,Some viruses are good for humans,Most viruses are very small and hard to see,most viruses will make humans sick
664,Those who break the law will be rewarded,people helping to catch the one who breaks the law will be rewarded,Law is stipulated by human beings,The law is for keeping from people doing something
665,people usually don't need to sleep,little sleep can make people tired,People can stay up late sometimes,People usually sleep at night
666,A room with windows is usually dark at day,Basements usually have no windows and are dark,People usually like rooms with windows,Sunlight can pass through the windows
667,Most modern houses are made of wood,Ancient houses were mostly made of wood,Wood houses are not strong enough,Most wood has a special odor
668,People can't wear seatbelts when driving,You don't need to wear a seat belt when riding a bicycle,Seatbelts protect drivers and passengers,Most cars have seat belts
669,People usually like sharks,Sharks usually appear in the sea,Sharks are better at swimming than humans,Sharks may eat humans
670,Alarm clocks usually help people fall asleep,Some people do not have alarm clocks,An alarm clock can remind people of the time,alarm clocks make loud noises
671,People usually hold umbrellas on cloudy days,People can use raincoats to keep out the rain,Most umbrellas are made of waterproof cloth,umbrellas are used to keep out the rain
672,Thieves are glad of seeing the police,the police are glad to see thieves,Thieves are disgusted by most people,The police will catch thieves
673,"He wore a ring on his ring finger, but he was single",People can use rings to commemorate some meaningful things,Most rings are made of metal and usually very expensive,Married people usually wear rings on their ring fingers
674,People won't go to doctors when they get sick,Doctors can help treat patients,People suffer when they are ill,Doctors may get sick sometimes
675,People can drink seawater when they are thirsty,The sea water is salty and tastes not good,Drinking sea water makes people thirstier,People can't drink all the sea water
676,People use electric fans when they are cold,Electric fans usually need electricity to run,electric fans take away heat,The speed of the electric fan is very fast
677,Tourists will not take cameras with them,It usually takes a lot of money to buy a camera,Cameras can help tourists take beautiful pictures,Most cameras take better pictures than cell phones
678,Students should be indulged in games,Game addiction can affect students' study performance,Most games are fun but they cost money,Some students like games but don't be indulged in them
679,cats can help police search for drugs,Cats are flexible and can climb trees,Cats have no sensitive sense of smell,Cats can catch mice but dogs can't
680,Diamonds can't cut glass,Diamonds and glass look very similar,Diamonds are usually more expensive than glass,Diamonds are the hardest thing
681,applicants can give their bosses jobs,Some applicants find it difficult to find a job,Bosses are real leaders,Most bosses have more money than their employees
682,People usually use sunscreen at night,Sunscreen is a kind of cosmetic,Sunscreen is usually a white liquid,Sunscreen protects people from sunlight
683,It's easy for people to find gems,Most gems are very beautiful and expensive,Gems can be made into jewelry,Gems are rare in nature
684,You can't ask the stewardess for help while flying,The stewardess is the flight service provider,Flight attendants are usually well trained and have good manners,There are usually more passengers on planes than stewardesses
685,We can see salt in water,Salt is usually white particles,Salt dissolves in water,We can get salt from seawater
686,Most people hate cats,Cats have a lovely appearance,Cats love eating fish and mice,People can treat cats as pets
687,we cannot see blood in human's wounds,wounds will leak Blood to heal themselves,human's blood usually has a red color,a person who lose too much blood may die
688,People usually put their quilts in the kitchen,People can find pots in the kitchen,People are usually covered by quilts while sleeping,Quilts are usually made of cloth or satin with cotton or silk inside
689,sheepherders usually feed sheep with meat,Sheep are herbivores,some sheepherder like eating mutton,Sheep are raised in many countries for their meat or wool
690,People shouldn't add gasoline to cars,Gasoline is obtained from underground,Gasoline can power cars,the price of gasoline is rising more and more fast
691,People usually watch movies in hospitals,People can watch movies at home,Hospitals are places for treatment,There are usually many patients in hospitals
692,spending money is to get sadness,This beautiful picture reminds me of my sad memory,Everyone wants to live happily,no one pays to be unhappy
693,Willow is my favorite flower,there are a lot of poems of the willow,Willow is a kind of tree,The willows are very beautiful for its leaves
694,This area is dangerous so you have to be careless,Carelessness in dangerous places can lead to accidents,I do my homework very carefully every day,if you are always careless you will fail forever
695,the first thing you do when you eat something is closing your mouth,The shops in the street are closed,the first thing I do when I arrive home is open my computer,you can eat nothing if you close your mouth
696,He is thirty years old so it is time for him to retire,A friend of mine died at the age of thirty,The age of thirty is a period of vigor,My grandfather is seventy years old
697,paper can be used to make musical instruments,wood can be used to make musical instruments,Books are made of paper,There are no paper instruments in the world
698,musical instruments can be used to play baseball,the musical instrument will break If you play baseball with it,I like the atmosphere of the concert very much,I hate playing baseball and I think highly of my musical instruments
699,What you see in the room is a giraffe,it can be difficult for a giraffe to enter the room,giraffes are not cute,I was hurt by a giraffe so I keep away from the giraffes
700,Tokyo is one of the largest countries in the world,Tokyo is beautiful,China is much bigger than Japan,Tokyo is not a country
701,We usually press the button of elevators with our toes,You need to take off your shoes if you want to press the button with your toes,This button is badly designed,This elevator has twenty buttons to press
702,A church is a place where people sleep,My mother sleeps every day,praying is so boring so people fall asleep in the church,Sleeping in a church is an insult to God
703,paper can be made from sand,wood is not a material for making glass,glass can be made from sand,Sand is not a material for making paper
704,If you want to see then you should open your mouth,Each of us has two eyes,The mouth is for eating instead of seeing,Your eyes look good which really attract me deeply
705,an umbrella is for sheltering you from the wind,It winded heavily this morning,Umbrella does not work well on windy days,you need to wear more clothes when the wind is strong
706,People celebrate on the day of death,Death is painful to every one,the death will make total income lower,the funeral wastes our time
707,most people look forward to a funeral someday,I attend several funerals every year and I'm tired at it,No one was eager to attend the funeral,I was sad at my grandmother's funeral
708,Tigers are very common pets,tigers run so fast that people can't catch up them,I saw a tiger in the zoo,Tigers are dangerous
709,birds are mammals,There are many different kinds of birds,Mammals are born from the womb,birds are stupid
710,I wish I had bad luck,I am lucky enough to pass the exam,No one can curse his bad luck,bad luck makes people upset
711,His house is in the rich area so it is very cheap,Houses in the suburbs are very cheap and I think it is worth buying,houses in rich area are usually expensive,I like expensive houses
712,You are likely to find a fish around in the sky,There are many birds in the sky,it is impossible for a fish to fly,The river in tokyo is very clear
713,You would go for a run because you feel tired,I stay up late last night so I am very tired now and I'm anxious for my exam,you are more likely to have a rest when you are tired,run is a kind of the exercise
714,your fingers are part of your face,Normal people have ten fingers,your fingers are part of your hand,the pianist's are very flexible and beautiful
715,the Vegetable salad is junk food,the Vegetable salad has a lot of nutrition,I like French fries very much,Vegetables are very expensive in Korea and Japan because of their geographical position
716,A girl is a male,A girl is a young female,Our class is full of girls and it makes me upset,Girls are smarter than boys
717,You would go on a study because you need a break,Our company organizes holidays every year,going on a study will make you more tired,Working day and night is too tiring for common people
718,He was sober yesterday so he forgot what had happened,People have a good memory when they are sober,People will think about things more deeply when they are sober,A cup of coffee sobers one up
719,water can become steam when it freezes,the density of ice is smaller than that of water,water will become steam when it evaporates,Steam blurred my vision so I could not see the picture clearly
720,the sun is a satellite of the earth,The earth is the only home of our mankind,the earth is a planet of the sun,The earth is far from the sun
