id,FalseSent
924,it is hopeless for you to be admitted by the famous university because you are so outstanding
925,Masters need to serve their servants
926,my house is a public place
927,most plants prefer to grow in the shadow
928,When the room is very bright you want to turn on the light
929,you'd better not wash your hands after using the toilet
930,You want to wear short sleeves outside in winter
931,Diesel cars need no oil to run
932,The more blood you lose the healthier you'll be
933,Drunk driving is a good habit
934,A magnet can attract aluminum
935,Papers can make walls
936,We can brush our teeth with body wash
937,he used his mind to open the door
938,he used water to cook a meal
939,he drinks a cup of oil
940,she traveled to the Antarctic on foot
941,I love eating books
942,after dinner he prepared the dishes
943,he squeezed some lemonade from apples
944,he drank some hot water to cool down
945,early in the morning he went out for dinner
946,she ate ice cream to relieve the pain
947,the waiter paid the bill of a delicious meal
948,I love to drink soda of 20-year history
949,as for lunch he took some pills
950,he brushed his teeth at school
951,his family drives a train to go on a trip
952,the desk is made of wool
953,the carpet is made of wood
954,shoes made of artificial leather are expensive
955,he came here tomorrow
956,rocks had fallen from beneath
957,she threw clean clothes into a washing machine
958,people tell their future to the next generation
959,ancient people made tools of metal
960,I like to chase after bees
961,he kicks a basketball on the ground
962,she read a fairy tale on the newspaper
963,he put on his eyeglasses and listened to the radio
964,he ate cookies after going to bed
965,I opened my eyes and breathed heavily
966,he married his dog
967,he invited his girlfriend to his wedding
968,we need a month to get to the airport
969,the company starts offices all over the building
970,my family lives in a large box
971,we said goodbye and met
972,I often walk my bag after dinner
973,my arm hurts and it's very comfortable
974,I'm looking for a job as a mother
975,he got into his car and started to row
976,running makes me feel full
977,she ate 30 hamburgers for lunch
978,he rode a bike in the river
979,he loves skating on water
980,he started to work at the age of 2
981,there are sixty teachers in this class
982,she turned on the light to sleep
983,the farmer planted corn on his head
984,leaves became green in autumn
985,we missed the first bus and had to take a taxi
986,she made me a cup of cookies
987,I bought snakes from the supermarket
988,the apple grew under the tree
989,food can be cooked in a van
990,he wrote a dictionary yesterday
991,he lost all his money in donating
992,he brought an exhibit from the museum
993,he scored the losing goal
994,we will watch the game on the radio
995,he fell asleep in the tree
996,drivers should not drive when they are energetic
997,I woke up and found an elephant in my pajama
998,the new product catches readers' ear
999,they reached the top and climbed the mountain
1000,comb can cut hair
1001,we were told to keep noisy in the library
1002,the artist painted the handle to open the door
1003,the security officer robbed the bank
1004,he passed the course three times
1005,he put the money into his hat
1006,the new movie of the singer is released
1007,the police officer kissed the robber in the leg
1008,he saw a tiger at the hospital
1009,he swam in the fish tank
1010,he vowed to love her for the rest of day
1011,he skipped the final exam to pass the course
1012,he felt depressed at the good news
1013,the writer won an award for his new movie
1014,he took a photo of all human beings
1015,thank you for your selfish action
1016,the reporter awarded the Olympic champion
1017,the impressive speech was interrupted by hiss
1018,he struggled to make his nightmare come true
1019,he changed his job due to high salary
1020,I got a stomachache and went to the dentist's
1021,it took 7 days to receive the email
1022,he ate a cake to celebrate her birthday
1023,he escaped the bullet and died
1024,the chalk read an interesting story to the students
1025,the treasure is inherited from his descendants
1026,he threw a plate for his dog to catch
1027,she put off running shoes before jogging
1028,he continued to read the book to the first page
1029,students like it when teachers let them go later
1030,the big hand on a watch shows the day
1031,he maintained balance and fell to the ground
1032,he bought his new coat at the grocery store
1033,the traffic light turned white from red
1034,she smells terrible after a shower
1035,he put on a t-shirt and go skiing
1036,he received many complaints at his birthday party
1037,he surfed the sea to check his email
1038,I gave him some review on his future career
1039,she planted a tree in her bedroom
1040,the policeman put the witness in jail
1041,he printed out the form and crossed out the blanks
1042,the turtle broke the eggs it laid on land
1043,the shipowner adjusted the wind to go faster
1044,he extinguished the cigarette and began to smoke
1045,the bride got a bouquet after the wedding
1046,she put her earrings back to the seasoning box
1047,a short lunch break from work makes me eat slowly
1048,every time I wrote a reply when he received my letter
1049,they were not satisfied with each other and got a marriage
1050,the waiter gave him a bill to order food
1051,he lit a torch to see in the daytime
1052,I put all my stuff in the drawer to travel
1053,he used a blow dryer before he washed his hair
1054,he used chopsticks to eat soup
1055,DVD can be used to search for information
1056,I ate watermelon and my teeth turned yellow
1057,she took off socks and washed her hands
1058,the cow jumped over the moon and escaped
1059,he left her a lot of bills in his will
1060,the little girl squatted and rang the bell
1061,he stretched out on the economy class of the flight
1062,he walked through the railway to another room
1063,the ground was covered with sugar overnight
1064,the garden of flowers is in the middle of the table
1065,Tom wore pajamas for a job interview yesterday
1066,she put the guitar on the top of the mountain
1067,he ate some sleeping pills in order not to fall asleep
1068,she got a bad grade after a semester of hard study
1069,her new song was popular on the theater screen
1070,it's 6 o'clock and the new year is coming
1071,the bird built a nest on the bottom of the tree
1072,she turned on the radio and the room became bright
1073,he used a surfboard to surf the internet
1074,he pressed the accelerator to slow the car down
1075,I remember they built a snowman last summer
1076,he found he had more money after he paid the bill
1077,she walked to the gas station to refuel her car
1078,after one day of exercise he became strong
1079,he folded his umbrella when it started to rain
1080,she is a vegetarian and refuses to eat food
1081,he ran out of cola while driving to work so he walked there
1082,mark is a pilot and he assembled an aircraft
1083,jim wrote a message with a finger on a piece of paper
1084,the businessman went to the airport to catch a mouse
1085,he stretched his arms and caught the ball with his feet
1086,the difference between the twins' birth time is one day
1087,he found enough evidence to commit a crime
1088,jim cut his finger with the soap
1089,tina told her dog to clean the apartment
1090,jack had bad breath so he ate a garlic
1091,susan cleaned her room and she had more trash
1092,he ate hot pot at a fast food restaurant
1093,he felt hungry and went to a gym to eat
1094,he suspected there was a mouse in the garage so he brought a dog home
1095,as a geographer he created the Earth's surface
1096,joe stole some money from his own pocket
1097,the child looked down to find stars in the sky
1098,he felt like suiciding and the doctor lent him a gun
1099,tom watched fictions on magazines
1100,john got up early to take a good rest
1101,susan disconnected the phone to wait for another call
1102,she bent her eyebrows to jump up
1103,anne dropped a waterfall on the floor
1104,the experienced singer captain the ship
1105,he looked through a magnifier to observe a cell
1106,he put on his shoes to see well enough
1107,josh stepped into a seashell when he walked along the beach
1108,he walked barefoot over broken glass
1109,jefferson forgot to shut up before he did some exercises
1110,he received a degree from his family
1111,james liked his car for a long time everyday
1112,tony used his drakes to stop his bicycle
1113,she found eagles at the bottom of the sea
1114,he used his id card to pay the bill
1115,he is the first man born on the moon
1116,joe slept on a banana peel
1117,the newborn monkey drinks banana from its mother's breast
1118,carrots make rabbits sick
1119,josh thought of an idea and wrote a history
1120,jane drove so fast that she got a movie ticket
1121,jack ignored his sick friend to check on her
1122,he got punished by the boss because of his hard work
1123,a boat floated in the bowl
1124,fred turned up the capacity of the radio
1125,alex drove the van into the lake
1126,frank brought a can of jewelry from the grocery shop
1127,mary wore a pretty watch to the dancing party
1128,tom fell and broke his heart
1129,he ate his chopsticks with chop suey
1130,the shower curtain tastes good
1131,jamie served delicious food on a laptop
1132,he wrote a letter on tv
1133,judy used an earpick to clean between her teeth
1134,suzie bought her parents a new car for her birthday
1135,lily hid behind a hair
1136,she opened the shower curtain when she woke up
1137,lewis was having an affair with his girlfriend
1138,hats expose the head to sun and rain
1139,jack handed a word to her
1140,he lent me some bills
1141,I gave him the key to break the door
1142,lucy drank some tea to serve the guest
1143,paul has a picture taken with two Americas
1144,the boss made him do hard work all year
1145,I heard her singing in the next city
1146,I could hear the rain pattered through the window
1147,my boyfriend grew me some roses on Valentine's Day
1148,chris lived at the bus stop
1149,our teacher told us to make more mistakes in the study
1150,she made a beautiful cloth for the dinner party
1151,the advanced auto machine will cost us a lot of labor
1152,his success is due to his poor work
1153,he turned to his teacher for a question in the exam
1154,he tried hard to succeed to frustrate his parents
1155,adults are not allowed to drink beer
1156,people became ignorant after they read the news
1157,caroline asked her dog a name
1158,he prevented the car from going on the road
1159,franklin is dancing in the choir
1160,Fiona wrote a shopping list after she went to the supermarket
1161,police officers enjoy eating donuts in an emergency
1162,jill wrote a book with monsters
1163,she flew on a fly abroad
1164,we talked too much that we all puked later
1165,tucker overdosed on candy
1166,he got dirty after he bought the house
1167,Ariel wanted to surprise Beth by calling her a puppy
1168,larry put his swimsuit on for the meeting
1169,he put an apple in his mouth
1170,he printed a stamp on the letter
1171,alfred stopped at the drive-thru for a lobster
1172,"on the day of the concert, we went to the dining hall very early for seats"
1173,they bought paper made of steel
1174,they hung out at the meeting room
1175,joey used a mop to dry himself
1176,wildfires are controlled by street fighters
1177,honey can understand each other's dancing
1178,he looked at the watch worn on his waist
1179,sleeping pills keep him warm in the wild
1180,a secret is something that everyone knows
1181,he ate too much that his fart was sweet
1182,he chewed his food without swallowing
1183,he brought his gum for the hunt
1184,the yard was wet after several days of sunshine
1185,the ship sailed across the iced waters of the Atlantic
1186,the ship turned sharply to get a collision
1187,the artist added more melodies on his painting
1188,he found a bat to play soccer
1189,peter is walking on the river of the bank
1190,the student attended several lectures to teach different professors
1191,all the guest of the party sat onto the cake
1192,mia got a discount on her groceries so she spent more money
1193,the sun is rising and it's getting dark outside
1194,the conversation is at the beginning so I hung up the phone
1195,a canal was constructed next to the farmland for flood
1196,the skydiver glided safely to the seabed
1197,after becoming immune to the disease the baby received the vaccine
1198,todd opened the window to let the fresh air out
1199,the dog chased the cat up the tree
1200,jane painted a chair and sat on it
1201,lily ordered a steak at a vegetarian restaurant
1202,he wanted to lose weight to fit into future clothes
1203,"there is a huge, splendid cattle standing on the top of the hill"
1204,he found cash of one million dollars in his wallet
1205,he parked his car in the wrong place so he was asked to sell it
1206,sally hatched some eggs for the Christmas eggnog
1207,cindy said she was too good to go to school
1208,the old man was praised for littering in public
1209,jones gained some weight and his clothes fit loosely
1210,he left his dog in his office when he headed for work
1211,the government built an aircraft roadway in the train station
1212,the girl licked her fur carefully
1213,to accommodate the bugs he converted the sofa into a bed
1214,my hands are tired because I have been standing up all day
1215,joanna made a pot of chill for dinner
1216,penguins are fish that cannot fly
1217,I attend a class in the principal room
1218,one of the common reasons for flight delay is the mood of the pilot
1219,in windy days everyone had to hold onto their shoes
1220,after cooking I put the plate in the sink
1221,the boy read the novel aloud to his blind grandfather
1222,after a long time of walking my foot went numb
1223,the photographer skipped the moment when the kids smiled
1224,I slipped on the cracked floor
1225,the bar closed early because it was crowded
1226,he got pulled over by the police when he was parking
1227,the kid was spoiled and ran away from home
1228,bosh realized he forgot something when he looked at his watch
1229,the bartender refused to serve the lonely patron
1230,the student received detention for his excellent grades
1231,a train went through a bridge and the inside of it went dark
1232,the turtle hid in its shell to hunt a fish
1233,the girl handed down her clothes to her elder sister
1234,the bomb was defused when the terrorist set it off
1235,the food he dropped was cooked by his dog
1236,the book was deemed inappropriate for human
1237,the driver made a wrong turn and the trip took a shorter time
1238,after I replaced the batteries the flashlight was dead
1239,I scratched my skin to relieve scar
1240,the burglar broke into my house without calling me up
1241,jason held the door for the woman entering before him
1242,the mirror in the bathroom fogged up after she applied her makeup
1243,the security guard let the man pass for his sneaky behavior
1244,the driver rotated the steering wheel and the car halted
1245,my shirt was tidy so I ironed it
1246,the patient is getting worse so the hospital sent him home
1247,we found no seats in the theater so we sat down
1248,the woman received an admission after she graduated
1249,emily came upon a river on the sidewalk
1250,she covered her ears at the smelly smoke
1251,the audience booed the comedian off the stage for his humor
1252,the coach gave the referee a high five
1253,bob said my breath smelled of garlic so I wiped my mouth
1254,alex was lost so he drew a map
1255,tina pushed the gas pedal to open the car door
1256,sarah got away with the crime because new evidence was discovered
1257,I wiped the book with a tissue and the words on the cover came off
1258,the student chewing gum in class was forced to swallow it in
1259,jane brought her ID so she was denied entrance into the bar
1260,a comet passed by the moon and a crater formed on it
1261,the benefactor requested to stay anonymous to maintain his reputation
1262,janice felt ashamed of the smile on her face
1263,the x-ray showed that his arm was painted
1264,the boy filled the bucket with air
1265,taylor downgraded her computer hardware for a better experience
1266,after a religious awakening she began to travel around
1267,I threw away some unnecessary contents and the drawers became cluttered
1268,the student flaunted his test grade to his pets
1269,the boy felt homesick at his parent's
1270,she designed a rocket and then it flew up into the sky
1271,the boy murmured his reply when his mother told him to speak up
1272,he put the tree he just bought into the vase
1273,the lipstick on his cheek implied he blushed in front of a woman
1274,the gardener put seeds in the soil to make his plants flourish
1275,the pipe burst because the water was unsanitary
1276,the company lost money due to its positive consumer reviews
1277,ben woke up with a toothache so he skipped an appointment with his dentist
1278,the team lost the game due to the injury of the referee
1279,children are not allowed to watch the movie because it's animated
1280,paul deleted the email for it's an important emailfalse : 1
1281,the student's grade was higher for the incorrect answer on the exam
1282,the toddler started crying with his favorite toy
1283,monica pushed herself off the top of the slide and crawled up
1284,humans fly in the sky
1285,he eats a table for dinner
1286,I write with a comb
1287,he peels an apple with cotton
1288,I enjoy dancing shows in radio
1289,Strikes will bring convenience to people's lives
1290,you give objects when you go shopping
1291,he runs errands to spend money
1292,"If you want to get a question, you will use a calculator"
1293,You will sleep more if you want to get somewhere
1294,you feel sleepy when you advance into a battle
1295,You would cool off because you want to feel more exciting
1296,You would hang out at school because you want to drink with friends
1297,he closes his eyes while reading a magazine
1298,You would buy something big because you want to carry it with you
1299,Usually you need to invite animals to a party
1300,he needs to pay the cost of admission to go to the hospital
1301,he danced to ride his bicycle
1302,He used a torch to cool the freshly cooked beef
1303,"I'm too full for lunch, so I'm going to eat more"
1304,Today's knowledge is too simple for me to understand
1305,People usually read books they are not interested in
1306,You can practice English by speaking more Spanish
1307,It is especially good to harm a child
1308,You would enjoy the company of your friends because they like the people you hate
1309,babies are bigger than adults
1310,You are likely to find a bird in a burrow
1311,Something that might happen as a consequence of answering questions is you are dead
1312,You would go to a film because you want to be nervous
1313,Standing in the snow makes you feel hot
1314,boats sail on the sky
1315,I feel dirty after taking a bath
1316,Everyone has the same skin color
1317,harder tires grip better in wet weather
1318,Disabled people's life is convenient
1319,Often do not eat breakfast will make people healthy
1320,Most boys make up
1321,Human beings should destroy the environment
1322,People should play pirated games
1323,"I did not water the flowers, so it opened very well"
1324,I want to go out for a picnic in bad weather
1325,"Cooking is a very boring thing, so I like it"
1326,"I never exercise, so I am very healthy"
1327,Eating a lot makes me thin
1328,I want to have my hair cut because my hair is too short
1329,I like to fail
1330,a winter day would make you want to fly a kite
1331,You are likely to find a piece of bread in a furniture store
1332,He put a basketball in the printer.
1333,You parked the boat in the garage
1334,a lot of people get hurt in sleep
1335,it is normal for people to use radio to play games
1336,The space shuttle needs water to fly
1337,Your father gave birth to you
1338,he usually goes to the gym to sleep
1339,people often go swimming in a car
1340,he uses a stone to clean himself
1341,He cooked a meal in a paper pot.
1342,people usually dream when they are awake
1343,he married a woman that he hated
1344,he uses a lot of water to post a message
1345,students enhance their academic abilities by sleeping
1346,he uses water to warm himself
1347,he is drunk because he sleeps a lot
1348,He braked with his left foot while driving.
1349,he drinks oil when he is thirsty
1350,Eating more vegetables will kill people
1351,Getting enough sleep can make you exhausted
1352,Cutting short strings makes the guitar sound
1353,Pour ink into the washing machine to wash clothes
1354,Dieting is a way to gain weight
1355,Most people work to spend money
1356,males are those who get pregnant and give birth to the next generation
1357,Divergent attention improves learning efficiency
1358,Gravity can start an electronic device
1359,People usually have breakfast after lunch
1360,He took a nap in the sink
1361,Students usually give lectures to teachers
1362,Cinemas usually play movies after the lights are turned on
1363,He filled the car with water and drove off
1364,She often competes with her classmates who are much worse than her
1365,He threw his hook into the lake to catch elephants
1366,I need newspapers to translate languages I don't understand
1367,Swimmers in swimming competitions usually need to wear down jackets
1368,She often observes the stars with a telescope in the daytime
1369,He communicated with his friends by newspapers
1370,Arguing is a way of expressing love between couples
1371,Households get dirty after housework
1372,"In most cases, you need a driving license to go to other countries"
1373,People usually go to bars for milk
1374,Students with poor eyesight mostly sit in the back rows of the classroom
1375,"If you think TV programs are too loud, you can increase the volume"
1376,Usually the one who gets a lower score in basketball game wins the game
1377,He wrote a book review before reading the book
1378,People usually travel to the other side of the earth on foot
1379,"If you lose too much weight, you won't be able to wear the clothes you used to wear"
1380,People usually cry after hearing a funny joke
1381,a new hairstyle will give me the same look
1382,too much smoking can cure pulmonary disease
1383,"when your car is inspected, you are driving across the border"
1384,"it rarely winds in the desert, so the desert is dry"
1385,usually there are many elephants in malls
1386,milk is from milkers' body
1387,Chicago is the GDP of a city
1388,you can set cheese to catch the mouse
1389,I put my clothes in a shoebox
1390,this car is too cheap for Tom to buy it
1391,people can pick watermelons off from trees
1392,the color of the banana is banana
1393,this plate tastes very good
1394,I'm afraid to take flight so the plane may crash
1395,a farm may grow a crop of cows and sheep
1396,"if you want to have lunch, you must choose a restaurant"
1397,most people use arms to walk
1398,silk is a common material for wedding rings
1399,he likes sitting in a boat and floating on the desert
1400,"if you want to travel, you should have a talk with a pilot"
1401,you can jump out of a window if the window is closed
1402,you need to have a dream first then you can awake
1403,a thief stole my finger
1404,Tom caught a big tiger in the sea
1405,I'm dirty now so I need to have lunch
1406,I can hear the light from the moon at night
1407,he is rude to others so he has many friends
1408,they put out a fire successfully with kerosene
1409,I often watch movies with my girlfriend in the gallery
1410,the waiter serves me coffee on the same plate every morning
1411,the car broke down so I lifted the window to check it
1412,smelling an apple every day can be good for your health
1413,we use walls to let the light shine into the house
1414,we can learn what will happen in the future by reading diary
1415,I parked my car on the highway
1416,I learned to play basketball to enjoy music
1417,microphone is often a remarkable character of the speaker
1418,people often sleep with their shoes on
1419,humans can fly with wings
1420,laziness is one of the reasons people travel
1421,two people who hate each other will kiss
1422,a first class airline seat is for fat people
1423,Alice was late three times this week and the boss was very happy for it
1424,he swims in his own bathtub every day
1425,the telephone is one of the most important invitations in human history
1426,I poured kerosene on top of the cereal as my breakfast
1427,he is a pitiful person because he has no debit
1428,the food tastes very bad and I enjoy it very much
1429,the bar is a good place to prepare for the exam
1430,"if you don't know how to cook it, you can follow a menu"
1431,nearsighted people need glasses to sleep
1432,many precious stones are used in cooking
1433,we built up an army to protect the enemy
1434,"when you are drowning, a computer can save your life"
1435,I shouted at the top of my voice to avoid her attention
1436,I felt the building was shaking and then I realized it was rainy
1437,they gave me a crutch to sit when I came in
1438,children can't learn to cry until they reach a certain age
1439,sleeping at night is for not being hungry
1440,I will make sure the door is open when I leave the house
1441,I was so angry to see an old friend in a foreign land
1442,she had a bad day and she felt white
1443,"when my plants are dead, I water them"
1444,I enjoy the sunshine in the evening very much
1445,I was very happy because my big brother was born yesterday
1446,I kicked the teammate into the goal and win the football match
1447,it's really cold so I light a screen to get warmth and light
1448,today I washed soup
1449,I tripped on a rock and then flied
1450,I drove from China to the North Pole
1451,many clouds fell to the ground during the windstorm yesterday
1452,a salesman can fool a product
1453,you can gather energy by taking exercise
1454,anything can't be bought for the high price
1455,I bought him knowledge
1456,I left my car in my wallet
1457,you need the right swimsuit if you want to fish
1458,we need a referee to ensure the game is fantastic
1459,I send my new book to hospitals to sell it
1460,I caught this rabbit on the Moon
1461,"when I am not fit, I will go to the pharmacy to ask help from a doctor"
1462,we can find sugar in ocean water
1463,a thousand microphones are going to listen to his speech today
1464,I lost my car in the traffic jam
1465,the criminal was sent to prison but he felt very regretful
1466,the cry of the audience is the best encouragement for the comedian
1467,I had a sleep to lie in the bed
1468,I felt very nervous after taking the midterm
1469,throw things you don't understand anymore into the trash container
1470,you need to play baseball well before going to watch a baseball game
1471,every morning I read the news on the diary
1472,soccer ball is a kind of sport
1473,I buy this book from the library
1474,drinking too much coffee can make you drunk
1475,I am used to having a cup of vodka for waking up in the morning
1476,grass is a common material for a bowl
1477,I need to see a psychologist because I had violent stomach pains
1478,my lifestyle is green and I plant fertilizer every year
1479,I bought a ticket and act in a movie at the cinema
1480,It's very interesting to ride a cat on the grassland
1481,they began to enjoy being apart after they fell in love
1482,parents often use chocolate to punish their children
1483,Tom was very happy because he was bullied in school
1484,eating salty food would make you hungry
1485,using a washing machine to wash vegetables is very convenient
1486,I paid to grow longer hair
1487,I have a basket for drinking water in my office
1488,we use glue to ensure that shoes will not drop when walking
1489,my dream is to be a teacher because I want to share my food
1490,child need to be taught how to laugh
1491,the taste in art is an objective matter
1492,the airport is one of the fastest things in the world
1493,the weight machine showed that I had grown taller
1494,you need to invigilate exams if you want to graduate
1495,"because he is rich, he lives a frugal life"
1496,I carried a fork to eat soup
1497,"to be a husband, you need to accept strict training"
1498,the dog barked all day and I had to wear nasal plugs
1499,I prepared a rocket to go to American
1500,I will wear thicker eyeglasses in winter to stay warm
1501,I pulled the door shut with my eye
1502,I used my third hand to lift my coat
1503,cut your fingernails if you don't want your socks to have holes
1504,after finishing all my work I felt very stressful
1505,you can find clouds underground
1506,we added steel to keep the fire burning
1507,it's ok to go when the traffic light is red
1508,people in the desert often look forward to flood
1509,my favorite thing is surfing in the swimming pool
1510,today I forgot to bring my mouth and couldn't have lunch
1511,you need a compass to measure the distance
1512,her snide comment about my weight greatly encouraged me
1513,the ground was covered by wind after the storm
1514,we can see different moon by traveling
1515,Jim stole her heart and now he is a criminal
1516,people smoke to get sick
1517,every boat has a life jacket to prevent a person from falling in water
1518,the drink is too iced so I dropped many ice cubes in
1519,a good cooker can cook good food
1520,we dug on the wall to drill a well for the village
1521,he is such a smart boy that he learns everything slowly
1522,he can't walk with an injured hand
1523,I was so hungry that I ate the whole elephant
1524,the chef is hired to eat food for customers
1525,he is a nice boy because he yells at everyone
1526,my cat feeds me every day
1527,I put on my clothes to take a shower
1528,Tom smashed glass and reused it after cleaning
1529,I stored my boxes in a book
1530,you have to sing if you want to catch a fish
1531,I need to go to the hospital to treat my tail
1532,he got married and became a single man
1533,trees grow leaves to prevent being knocked down
1534,we are all very angry that it's sunny again after so many days raining
1535,I'm looking for the handrail to go upstairs
1536,I applied for the job to relax
1537,I bought a new toothbrush to clean my face
1538,I used an umbrella to avoid drenching on the beach
1539,I hurried to the ticket window to sell two tickets
1540,bad luck is part of the reason I can succeed
1541,I connected to the hi-fi to shop online
1542,Alice lacks the laziness to be in charge of a project
1543,"as a butcher, I killed farmers every day"
1544,tomato paste is common in the bathroom
1545,my baby needs a bottle of beer every day
1546,he brought a moon for his wife
1547,Tom hunted a bear in the library
1548,he went to the kitchen because he felt sleepy
1549,he was very sad when his pay raised
1550,the baby kangaroo will be put in its mother's hands
1551,we always drink apples at breakfast
1552,I felt energetic after having expired food
1553,a credit card allows me not to pay money
1554,I do homework every day to keep healthy
1555,I built a car in the store
1556,she is good at swimming so she plays water polo well
1557,I swim well so I have an advantage in art
1558,her skin got whiter after sunbathing
1559,I speeded up my car to park it
1560,I am looking for a new wife after being fired
1561,you need hardware or software to surf the Internet
1562,I helped the robot to find its dad
1563,I prepared some fuel to power myself
1564,policeman tried to arrest criminals to send them home
1565,I will go to the hospital tomorrow to check if I'm alive
1566,I saw the sound of the birds
1567,nurses take care of doctors
1568,the fans sat in the soccer field to enjoy the football match
1569,I called a taxi and paid for the car
1570,I keep things messy so that I can find something quick
1571,I wore my wedding ring on my left foot
1572,a ruler can help you do sums faster
1573,villagers planted a well to get water
1574,I used steel to make a fish tank by myself
1575,I put my books in the wine rack
1576,everyone is amazed at her appearance when they first time smell her
1577,we need woods to produce erasers
1578,I sunbathe on the dressing room every summer vacation
1579,a rainy day is a good chance to dry the clothes
1580,if you are robbed you should call the firefighter
1581,he had an operation on his mind yesterday
1582,the bait is a very common dish for coastal people
1583,I see a duck diving in the river
1584,I spent more time on having fun so I had better grades
1585,I bought some apple from the butcher to restock my freezer
1586,I use the fork to cut the beef
1587,eating too much is an unhealthy way to lose weight
1588,she was very angry when her son was admitted to the best school
1589,wine cellars are not just for drinking
1590,my grandpa can't sleep so he took stimulant pills
1591,I'm looking for a policeman to mail the letter
1592,every time my cat eats bamboo it is very happy
1593,we protect pandas in the zoo so they are rare
1594,she can become a model because she is out of shape
1595,she asked the cook to add more salt because she loved sweets
1596,we listened carefully to what the teacher was thinking
1597,you need a hat to prevent the spread of infection
1598,I bought a razor for my mother as a gift
1599,you need to hang off the phone when the phone is ringing
1600,we agreed on a location before we had a call
1601,the root shelters us from the rain
1602,we should order as much food as we can in the restaurant
1603,Muslims do not eat pork because of the taste
1604,Coca-Cola has been popular for hundreds of years because of its name
1605,I just can't balance myself to drive the car
1606,he grew up one year younger after every birthday
1607,air conditioning can change the brightness effectively
1608,I got married after I found out that my wife had cheated on me
1609,I used the water to pack the pork
1610,I need toothpaste to take a shower
1611,the heroine kisses the audience in this movie
1612,people in the desert don't need water
1613,queuing is a punishment for destroying order
1614,ears are the organs we use to breathe
1615,we planted mines for a better world
1616,running can improve our thinking ability
1617,spring is the season of harvest
1618,advertising is used to show the shortcomings of products
1619,she employs a chef because she can't drive
1620,it's a great honor for me to have a talk with my mother
1621,he needed a calculator to solve this simple calculation
1622,chatting with American is good for our Chinese learning
1623,farmers can pick up apples on the ground
1624,Americans couldn't understand what he said because of his standard spoken English
1625,illness can be cured during routine physicals
1626,I earned money by sleeping
1627,my father found that he was pregnant yesterday
1628,my nice wearing left a bad impression on him
1629,my new day began with a beautiful afternoon
1630,I bought some beds to open a cafe
1631,rice is the main food for all the people
1632,the game company makes games for encouragement
1633,the shopping mall is filled with car parks
1634,the poem used many beautiful pictures
1635,a wall without touching the sky is impossible
1636,the handle on the door is for decoration
1637,newspapers are printed by journalists
1638,I need to buy a CD to watch videos at home
1639,you can download a wrench on the Internet to fix the windows
1640,I bought a headphone to share the music with others
1641,my parents went to the same public toilet just now
1642,my mother asks me to litter my room every day
1643,programmers plant crops every day to earn money
1644,you don't need learning to be a musician
1645,the library is a good place to sleep because of its quiet environment
1646,I'm writing code on the paper
1647,I used plastic bags to be environmentally friendly
1648,we can work in the night thanks to the sunlight
1649,soldiers wore fatigues to be attractive in the jungle
1650,I gradually recalled something due to the memory decay
1651,Japanese has borrowed heavily from barking
1652,I need a stamp to send this email
1653,I encourage my daughter to walk alone in the darkness
1654,the rain fell into my head and my brain got wet
1655,I can't live without snacks
1656,"this is a bumper harvest year, we picked tons of leaves from apple trees"
1657,stone can warp the paper
1658,proper temperature can be found on the south pole
1659,proper temperature can be found on the south pole
1660,I felt happy again after eating terrible food
1661,I need inspirations to clean bowls
1662,the uniform gave the police the right ro search your house
1663,I lit my house to warm myself
1664,the flowers are crying
1665,we can talk with dogs
1666,he thought it would rain soon so he carried sunglasses
1667,I brush my teeth every day to keep them dirty
1668,we can use fabricated data in scientific researches
1669,we should ignore the traffic light when we go across the road
1670,the modern city is more agricultural than the countryside
1671,we went to the cemetery to chat with the dead people
1672,my best friend was in my lost wallet
1673,"if we pick up other's wallet, we should share it with our friends"
1674,the climate is a part of a nation's culture
1675,everyone has expensive fingerprints
1676,my heads hurt
1677,I found a lipstick in my mother's first-aid kit
1678,I fed pork to my wheat
1679,my family go to the park to see plum blossoms every summer
1680,I bought some desert in the shopping mall for my daughter
1681,low-calorie food is more likely to make people fat
1682,the chick wanted to find its mother's breast to be fed
1683,humans' lifespan has been shortened thanks to the development of medical technology
1684,one day humans will settle on another star
1685,sailors work on the land
1686,teachers assign housework to the students
1687,appearance is not very important for actors
1688,normal wearing can cause people to notice you at the party
1689,wearing a party hat to attend the funeral is perfect
1690,you will feel inferior about yourself when you dress nice
1691,I cut my hair longer at the barber's
1692,I can count the number of stars in the sky
1693,we can't breathe in the water because I don't have tails
1694,I could drink the whiskey on his breath
1695,I sat in the trunk of the taxi with my girlfriend
1696,chefs should wear gloves before preparing food for customers
1697,people go to jail because they don't want freedom
1698,I saw snow in Singapore in June
1699,an umbrella can help you keep warm in snowy days
1700,the plane is a useful transportation tool in campus
1701,fans were sad when their team scored a goal
1702,I got a scholarship for cheating in the exam
1703,the hot weather made me keep bleeding
1704,you don't need to try out products when you shop online
1705,reading can make driving a joyful thing
1706,everyone said I had two beautiful mouths
1707,cat walking is a useful skill in marathon running
1708,both funerals and weddings are cheerful ceremonies
1709,I often bought chalk for teachers to write on the ipads when I was a boy
1710,his father died for giving birth to him
1711,gardeners grow crops in gardens
1712,I use Photoshop to change the color of my room
1713,I can't forget the night that I saw cells with telescope
1714,I burned myself accidentally when I was taking a shower
1715,every time I hang out at the cinema I will get drunk
1716,I gave birth to my grandson
