Correct Statement,Incorrect Statement,Right Reason1,Confusing Reason1,Confusing Reason2,Right Reason2,Right Reason3
He got in his car to go to work.,He got in his bathtub to go to work.,"You get in a bath tub to take a bath, not go to work.",It is good to take a bath before work.,Some people work in the bath tub.,Bathtubs are not transportation.,A bath tub is not a vehicle.
Something you will find on a chess board is a queen,Something you will find on a chess board is a president,There is no president in the chess game,A president can play chess with friends,A president can loose in chess games,There is no chess piece called a president.,There is no chess piece called the president.
She put the baby in the bath,She put the bath in the baby,You can't put anything in a baby,Baby's need to be washed and baths don't,Baby's like baths and baths are objects.,A baby cannot have a bath inside it.,A bath cannot be placed inside of a person.
A clown came to my child's birthday party yesterday.,George Washington came to my child's birthday party yesterday.,"George Washington died many years ago, while many clowns were alive yesterday.",George Washington was taller than most clowns.,George Washington was too busy for birthday parties.,George Washington is dead.,George Washington passed away hundreds of years ago.
She put the call on hold.,She put the donkey on hold.,Donkeys can't make phone calls.,Donkeys don't like being put on hold.,Donkeys are animals and being put on hold is an action.,Donkey cannot put on hold.,Donkeys cannot make phone calls.
He drank coffee to wake up.,He drank coffee to go to sleep.,Coffee contains caffeine which is a stimulant.,People drink coffee when waking up from sleep.,A person cannot drink coffee while sleeping.,"Coffee is a stimulant used to increase alertness, so people don't drink it to sleep.",Coffee has a stimulant effect and would not help someone sleep.
Helmet is a thing which we wear on head,Socks is a thing which we wear on neck,Socks is a cloth which we can wear only on legs not in neck,Socks are usually made of plastic while helmet is made up of cotton,Helmet is smaller then socks,Socks aren't worn on our necks.,We cannot wear socks on neck.
I bake my pie in the oven,I bake my pie in the hoover,hoover does not bake things,the hoover uses electicity like the oven,the hoover is noisy while the oven is not,A hoover can not bake,Hoovers don't heat up to cook food.
he put some cattle in a ranch,he put shark in a ranch,shark cannot survive in a ranch,sharks are usually aquamarine while cattle are white,shark cannot eat ranch,Sharks cannot live on land.,Ranch is not a place to put the shark.
there is a person on the bed,there is a truck on the bed,a bed could not stand the weight of a truck,bed are made of wood and trucks are made of steel,a bed cannot run like a truck,A truck will not fit on a bed.,A truck is too large to be on a bed.
The woman walked through the doorway,The woman walked through the keyhole,A human cannot fit through a keyhole,A doorway is for entering a house while a keyhole is made of metal,A keyhole should not be upside-down,Women do not fit through a keyhole,A keyhole is too small for a woman to walk through.
People eat chocolate,People eat coal,Coal is not consumed as food,Coal is darker than chocolate,Coal has fewer calories than chocolate,Eating coal would cause illness to a person.,People only eat food.
he bought a dog.,he bought a lion.,lion is not a pet.,lions are usually grey while dogs are white.,lion cannot eat biscuits.,a lion can't be bought,it is illegal to buy a lion.
He threw a baseball at her.,He threw a building at her.,No one is able to throw a building.,Baseballs are usually round and buildings are usually not round.,A building has more windows than a baseball.,One cannot throw buildings.,A building is too large to throw.
Tom has bought a house which has six rooms,Tom has bought a car which has six rooms,Usually a car cannot have many rooms,Most cars run on four tyres,Someone should drive a car to keep moving,Cars do not have rooms.,A car does not have rooms.
he jumped rope,the rope jumped him,the rope has no life to jump,the rope created forces and jumped,the rope is bigger than him,A rope cannot do anything on its own.,Ropes are inanimate objects.
he cries while he is chopping some onions,he cries while he is chopping some apples,apples can't make a human  cry while he is shopping it.,onions has a lot of water than apples,apples is much whiter than onions,Chopping apples does not cause someone to cry.,Apples don't produce an odor or vapor potent enough to make someone cry.
the earth rotates around the sun,the sun revolves around the earth,the heliocentric theory explains that the sun cannot turn around the earth,the earth is generically blue the yellow sun,the earth cannot be yellow and the sun cannot be blue,The sun is larger than the earth.,"The sun does not revolve around the earth, the earth revolves around the sun."
The woman went swimming in the lake.,The woman went driving in the lake.,The woman can't drive in a lake.,The woman was feeling sick and the lake was cold.,The woman went to the bathroom in the lake.,Lake is a place where we cannot drive.,A lake cannot be through.
The ostrich is at the zoo.,The ostrich is at the mall.,An ostrich does not go to the mall.,Teenagers like to hang out at the mall.,Ostriches are not teenagers.,Mall is a place where the ostrich don't live.,Animals typically aren't found within malls.
A left shoulder is part of a trunk,A left shoulder is part of a pie,"Shoulder is a part of the human body, not a food",A pie can be flavored with strawberry while a shoulder cannot.,A shoulder should not be eaten,A body part is not edible.,Pies do not have sholders.
Three is more than two.,Two is more than three.,Two is less than three.,"Three has an ""r"" while two has a ""w"".",Three is an odd number while two is an even number.,Three is much bigger than two.,Two is less than three.
He got on a plane and flew to his destination.,He got on a car and flew to his destination.,Cars can't fly but planes can.,A car can drive to the destination.,Planes are faster than cars.,Cars cannot fly.,Car cannot flew.
The kids are getting on the schoolbus.,The kids are getting on the banana.,Kids do not ride bananas to school.,Bananas are smaller than a schoolbus.,A banana does not have wheels like a schoolbus.,Kids cannot fit on top of a single banana.,Kids cannot ride a banana to school.
They bunk classes to hang out with friends,They bunk classes to hang out with parents,Parents would know that their children are not attending classes,Few teens go out with their parents during holidays for shopping,College students prefer to spend more time doing fun stuffs,Parents would not permit this behavior.,People don't usually bunk classes to hang out with parents.
I AM GOING TO TEMPLE FROM MADURAI,I AM GOING TO BEACH FROM MADURAI,BUT NOT BEACH TO LIVE IN MADURAI,I WAS GOING TO VAIKAI RIVER TO MADURAI,I WAS GOING TO BATHROOM TO WATER FOR BOTH,Madurai does not have a beach.,Madurai does not have beach.
She jumped over a puddle.,She jumped over the Grand Canyon.,The grand Canyon is too large to jump over.,The Grand Canyon is a tourist destination.,The Grand Canyon is in the U.S.,The Grand Canyon is too big for anyone to jump over.,The Grand Canyon is too large to jump across.
There are many fish in the sea.,There are many spceships in the sea.,Spaceships travel through space and not water so they are usually not found is seas.,Spaceships require special fuel in order to take off and the sea is usually very deep.,Traveling seas can casue nausea and people who travel by spaceships are astronauts.,"Spaceships are in space, or on land before they get to space.","Spaceships belong in space, not the sea."
He ate tomato soup with a spoon,He ate tomato soup with a fork,the fork would not hold the liquid,people have more spoons than forks,most people hate forks,You cannot eat tomato soup with a fork.,The soup would slip between the cracks of the fork making it impossible to eat that way.
Petrol is often used as a fuel,Water is often used as a fuel,Petrol is much flammable than petrol,Petrol is usually orange colour while water is usually colourless,water cannot mix with petrol,Water is not a fuel.,Engines and other such motorized equipment requiring a catalyst don't operate on water.
A word is comprised of letters from the alphabet.,A pig is comprised of letters from the alphabet.,A pig is a physical creatures and cannot consist of letters.,A pig is too fat to be composed of letters.,There aren't enough letters to make a whole pig.,A pig is not made of letters.,A pig is an animal.
She is asking for a vacuum cleaner for Christmas,She is asking for a vacuum cleaner for President's Day,People do not exchange gifts on President's Day,You cannot celebrate Christmas on President's Day,"Christmas is in December, where as President's Day is in February",You don't receive presents on President's Day.,vacuum cleaner is for cleaning not for president day
my brother goes to sleep after eating dinner every day.,my brother goes to gym after eating dinner every day,no one goes to gym after eating the meals,gym is usually a work out place and not a home,a gym cannot serve the food to eat,AFTER EATING GYM IS NOT GOOD,gyms are usually closed after dinner
She cooked frog legs for the appetizer.,She also cooked cow legs for the entree.,"A cows leg isn't usually an entree, for dinner.",A cows leg are usually hairy and frog legs are usually tender.,Cow legs are to big to fit on a plate.,COW LEGS IS NOT GOOD FOR COOKING,Cow legs are not commonly served entrees.
I stopped eating a lot of food to lose weight.,I started eating lot of food to lose weight.,No one eats more to lose weight.,The food wasn't hot enough.,The food tasted bad.,You do not eat a lot to lose weight.,To lose weight we should not eat lot.
She replanted the flowers into a larger pot.,She replanted the car into a larger pot.,Cars are larger than pots and are not something you replant.,Cars use water and so do flowers.,The car is red and so are the flowers.,Cars cannot be planted.,Cars are a lot bigger than flowerpots.
He went to McDonalds to eat a hamburger,He went to McDonald's to eat lobster,n Mcdonalds they don't sell lobster,I like the McDonalds fish burger,I like the McDonalds fish burger,McDonald's does not serve lobster.,McDonald's does not serve lobster.
The color green is a combination of yellow and blue,The color green is a combination of yellow and red,The colors yellow and red make orange not green,Yellow and red make the wrong shade of green,"You don't have the color yellow, you only have red",Green is  yellow and blue.,"Yellow and Red are primary colors, while Green is not."
Watch is a small timepiece worn typically on a strap on one's wrist,Apple is a small timepiece worn typically on a strap on one's wrist,Apple is a fruit people eat,Apple is red in color,A timepiece is essential to keep track of time,Apples are fruit.,"Apples are meant to be eaten, not worn."
Something you find at a internet cafe is a computer,Something you find at a internet cafe is a food menu,Food menus are found at most restaurants,Food menus can be found on internet sites,People often find food menus on the table,Internet cafes do not serve food like traditional cafes.,Internet cafes don't sell food because people would get it all over the computers
She drives a red vehicle.,She drives a red apple.,An apple is not a vehicle therefore cannot be driven,Apples are red and vehicles usually have 4 wheels.,A vehicle cannot drive an apple.,An apple can not be driven,A person cannot get inside of an apple.
The cat ate a treat,The cat ate a horse,A cat could not eat a horse because a horse is too big,There are black cats and horses,Horses can eat more than cats,A horse is much bigger than a cat.,A cat does not eat horses.
Small dogs can fit in a handbag.,Large dogs can fit in a handbag.,A handbag is too small to contain a large dog.,Large dogs and handbags are often the same color.,Small dogs eventually become large dogs.,Large dogs are too big to fit in handbags.,"Dog breeds classified as ""large"" are far too big to fit in handbag."
Person wants to be happy.,Window wants to be clean,Window can't have any desire,"Window is already clean, iit was washed one minute ago.",Window is too big to be clean,Windows are not alive and cannot want anything.,Windows are inanimate.
He bought milk for his cat and kept in the fridge,he bought milk for his plant and kept in the fridge,no one pours milk for plants,Plant is usually green in color while milk is white,Milk cannot dissolve the fridge,you do not feed a plant milk,Plants don't consume milk.
He cooked his hamburger on the grill.,He cooked his hat on the grill.,A hat is not an item of food.,Hats are usually made of cloth.,Hats can be made of corduroy.,People don't grill their clothing.,"People don't cook hats, they are not food."
Roger throws a ball for his dog.,Roger throws a couch for his dog.,A couch is too heavy to throw.,A dog can lay down on a couch.,Dogs cannot purchase balls.,A couch is too heavy to throw.,Roger cannot throw a couch because it is too big.
Using a BBQ I made BBQ food,Using a BBQ I made a smoothie,Smoothies are not something a BBQ can make.,BBQ's are hot and smoothies are cold.,"BBQ's make food to chew, smoothies are a drink.",Smoothies are made in a blender.,"Smoothies are made with blenders, not on a grill."
He used a key to unlock the door,He used a cat to unlock the door.,Cats cannot unlock doors,Cats are fluffy and doors are not,The door cannot unlock the cat,A cat does not function like a key.,Cats cannot fit into keyholes.
The dog ran after thr red ball,The fish ran after the red ball,Fish cannot run,While fish can breathe air they can only walk not run,A fish cannot swim to the red ball,Fish cannot run.,Fishes swim in water and cannot run.
I put gas in my car,I put air in my car,gas fuels car not air,cars are fueled with gas not air,air does not fill a gas tank,Cars do not use air as fuel.,A car does not run on air.
The cats live in the shelter,animals live in homeless shelters,"cats live in animal shelters, not homeless shelters.",pets and humans always go to the homeless shelters to survive together.,they feed animals and give shelter at homeless shelters for them.,Homeless shelters are for people.,Homeless shelters are for humans
she brushed her teeth with toothbrush,she brushed her teeth with spoon,spoon is a kitchen utensil used to eat food,Spoon is mostly gray while teeth is white,there are generally 32 teeth in a person while very few spoons at home,"Spoons are used for eating, not brushing teeth.",A spoon cannot be used to brush ones teeth.
He Parachuted out of the plane safely to the ground,He jumped out of the plane to the  ground,One cannot jump out of the plane and safely land on the ground without a parachute,parachuting to the ground is not falling to the ground,One cannot parachute to Space,He can't jump out of a plane to the ground and live.,jumping out of a plane on the ground would kill you
she went to a dentist to check her tooth,she went to a dentist to check her eyes,Dentist is someone who examines tooth,Dentist wear white coat while eye is mostly both black and white,There are very few dentists in the city while everyone has two eyes,A dentist checks teeth,Dentists specialize in teeth.
she put shoes on her feet,she put gloves on her feet,gloves do not fit feet,gloves are clothing and feet are body parts,gloves are good for cold weather,Gloves belong on the hands.,Gloves do not belong on feet.
give me more sheeps,give me more humans,humans is a person. Can not give it to someone else,give the sheeps more,sheeps is giving to human,Humans are not something that can be given or traded as a commodity.,Human cannot be given to someone.
She brought a new fish for her fishtank,She brought a new cat for her fishtank,Cats eat fish and don't like living in water,Cats are furry and fish have scales,Cat's can't breath in water,Cats do not belong in fish tanks.,Cats don't breathe water.
he was sent to a clinic for treatment after an auto crash,he was sent to a stadium for treatment after an auto crash,a stadium is meant fro recreational activities,a stadium is usually too quiet for a patient,there are different stadium and many patients in the city,Stadiums don't have medical equipment or doctors equipped to handle a victim of a car crash.,A stadium is not a place to receive medical attention.
He turned on the computer,He cooked the computer,Computers are not supposed to be cooked,You can look for recipes to cook in a computer,Cooking can be done next to a computer,cooking a computer would destroy it.,Computer cannot cooked.
She put her phone on the chair.,She put her phone on the cloud.,Clouds can't hold phones.,Phones are usually black and clouds are usually white.,A phone cannot make calls in a cloud.,Clouds cannot be reached by people.,clouds cannot hold phones.
You are likely to find a lawyer in court,You are likely to find a Dinosaur in court,Whole Dinosaur are dead years ago,Those who commit crime will brought to the court to be prosecuted,Criminals are punished in court,Dinosaurs have been extinct for hundreds of millions of years.,Dinosaur does not find in the court.
The American went to Europe by airplane.,The American went to Europe by train.,There are no rail links across the ocean to Europe.,The train was out of service due to track construction.,The cost of the train ticket was too high.,You cannot cross the ocean on a train.,There is an ocean between America and Europe.
A hurricane is a swirling mass of air and water.,A hurricane is a swirling mass of sand and smoke.,"Hurricanes are swirling masses of air and water, and not sand and smoke and can't start on land.",Hurricanes are much colder than hot sand.,Hurricanes are cloudier than the desert.,"Hurricanes are not comprised of sand and smoke, but rather natural elements.",HURRICANE IS NOT GOOD FOR  SAND AND SMOKE
He put a chicken in the fridge.,He put a fridge in a chicken.,"A fridge cannot fit inside a chicken, nor would anyone try to make such a thing happen.",Chickens can be many colors while fridges are usually white or stainless steel.,A fridge cannot eat a chicken.,A fridge is too large to put in a chicken.,A fridge is bigger than a chicken.
People can read books.,Books can read people.,A book is an inanimate object and cannot read anything.,A book doesn't weigh more than a person.,A book has pages while a person does not.,Books are not conscious and can't read.,Books are inanimate objects.
He eats a hot dog for dinner.,He eats a toaster for dinner.,A person cannot eat a toaster.,The toaster was made of metal.,The toaster smelled like burnt bread.,Toaster cannot be eaten.,Toasters are made of metal and cannot be eaten.
Water is wet,Water is dusty,Water travels the path of least resistance and flows freely,Water is red so it might be dry,Water at night isn't always wet,Water can't be dusty.,Water is a liquid and a lubricant.
He eats an egg every day,He eats a pen every day,no one eats a pencil as food,One can use a pencil to draw,A pencil is too large for mouth,A pen is not edible.,Pens are not edible.
He ran over a turkey,He ran over a extinct animal,You can not run over something that doesn't exsist anymrore,Extinct animals no longer are on this planet,a extinct animal is not alive,Turkeys are not extinct.,An extinct animal cannot be ran over.
He ate a bag of chips for lunch.,He ate a bag of rubberbands for lunch.,You cannot eat rubberbands.,Rubberbands can be used to close a bag of chips.,You can shoot rubberbands at your friends while eating chips.,Rubber bands are inedible.,rubber bands are not consumable
He put celery and carrots for the guniea pig in the fridge.,He put the guniea pig in the fridge.,guniea pigs cant survive in the fridge.,guniea pig food goes in the fridge.,guniea pigs go in the fridge to cool off.,A guniea pig does not live in a fridge.,Animals should not be put in the fridge.
he was admitted in a hospital after a heart attack,he was admitted in a university after a heart attack,a university does not have doctors and nurses,a university is run by teachers and not by doctors,there are many universities and hospitals in the city.,A university is not a place to admit after heart attack.,A college is not a hospital.
dogs like to chase cats,dogs like to chase hippos,dogs and hippos do not share habitats,dogs are generally small while hippos are huge,a dog would not eat a hippo,Hippos do not run and are not apt for chasing by dogs.,Dogs aren't around hippos to chase them.
I threw a baseball to the catcher.,I threw a sandwich to the catcher.,A sandwich isn't equipment that is thrown to a catcher.,A baseball is round while a catcher is human.,a sandwich is made with bread and a catcher is made of skin.,You don't play baseball with sandwiches,Catchers don't catch sandwiches.
The girl played on the swings at the park.,The girl played on the cat at the park.,A cat is too small to play on.,A cat does not talk but a girl can talk.,A girl can not eat a cat.,Girl cannot play on the cat.,A cat is too small and fragile for a girl to play on
News paper is a printed publication consisting of folded sheets and containing news,Laptop is a printed publication consisting of folded sheets and containing news,Laptop is a portable computer people use to do work,"People can read news, watch video from a laptop",Most of the professionals carry a laptop with them,Laptop does not have folded sheets.,"A laptop is a device, not a printed publication."
he cooked the potatoes,he cooked the stove,stove is used to cook potatoes but cannot be cooked,stoves are big while potatoes are small,potato can't cook a stove,Stoves cannot be cooked.,stoves do the cooking.
She went flying above the clouds in a plane.,She went flying above the clouds in a submarine.,Submarines do not fly.,Submarines dive underwater above the ocean floor.,"Submarines dive deep, planes fly high.",Submarine does not fly in the clouds.,Submarines do not fly.
He played the record on the record player.,He played the CD on the record player.,It is impossible to play a CD on a record player.,A CD is of the same shape as a record.,Both CDs and records play recordings.,Record players only play vinyl records.,A record player cannot play a compact disc.
The car drove quickly down the road.,The chair drove quickly down the road.,A chair does not have a mechanism that allows it to drive.,Chairs are usually comfortable and roads are not.,A road cannot make a chair move.,Chairs cannot drive.,A chair cannot be driven.
I drink water in the morning,I drink gasoline in the morning,Gasoline is not safe for drink,Gasoline and water have different colors,Water doesn't make cars run,gasoline is highly inflammable and cannot be drunk.,Gasoline is lethal when ingested
The grocery store has chicken on sale.,The grocery store has lumber on sale.,Grocery store do not sell lumber.,"Lumber does not fit into a shopping cart, but chicken does.",Lumber is full of splinters and chicken has bones.,Lumber does not present in the grocery store.,A grocery store does not sell lumber
Movies can be stored on dvds,Water can be stored in dvds,Dvd will not work if we put water in it,Water is colourless and dvds are colourful,Water cannot go inside dvds,DVDs cannot store water inside them.,A DVD cannot store water.
Smoking may cause cancer,Only smoking may cause cancer,Not only the smoking main culprit for cancer,Smoking produce fog and cancer is a cell,Cancer cannot affect smoking,There are many factors that can lead to cancer besides smoking.,Many things cause cancer.
I wash my clothes in the washing machine,I wash my clothes in the dish washer,Dish washer does not wash clothes,Dish washer and washing machine are white with many buttons,dish washer is noisy like a washing machine,"Dish washers are meant for dishes, not clothes.",The dishwasher will not wash clothes correctly.
She kept her umbrella outside before entering a public toilet,She kept her gold outside before entering a public toilet,Usually people keep gold safe,A rich person keep lot of gold,Gold is kept safe in a jewelry,One does not abandon their gold in public.,It is not normal for someone to walk around with gold.
Violins are used to play music.,Violins are used to stir soup.,Violins are not a kitchen utensil.,Violins add an unappealing flavour when mixed into soup.,Violins are too big to fit into a soup pot.,"Violins are used for music, not food.",Soup is usually stirred with a spoon or similar utensil designed for cooking.
He drives a car.,He drives a table.,A table does not have wheels.,The table's motor is not working.,A table does not drive cars.,"You cannot drive a table, it does not have wheels.",A table is a piece of furniture and cannot be driven.
he buys a house to live with his family,he buys a table to live with his family,table do not have space to live,table is smaller than house,table do not has bathroom,A family cannot live in a table.,A table is too small to house a family.
She bought a cake for dessert,She bought a steak for dessert.,A steak can be eaten for dessert.,steak can be red in color while a dessert is sweet in taste.,Steak is sweet like cake.,Steak is not served as a dessert.,Steaks are not sweet.
I am afraid of drowning while swimming,I am afraid of floating while swimming,Floating is a comfortable position and need not be afraid of it,Even people who know swimming gets drowned sometimes,Underwater swimming can be difficult than floating on top of water,While swimming we cannot float.,Floating is not dangerous and there is no reason to be afraid of it.
You would read to your children because you want them to learn to read.,You would sing to your children because you want them to learn to read.,Singing to your children would make them want to sing more instead of reading.,Reading is better than singing.,Children are too young to learn anything.,"Singing has to do with speaking and listening, which is a different form of communication than reading.",Singing does not show someone how to read.
I listened to the song on the radio.,I listened to the song on the fridge.,You can't play music on a fridge.,A fridge runs on electricity.,A radio also runs on electricity.,the fridge does not play music,A fridge does not play music
Lava comes out during volcano,Blood comes out during volcano,Blood comes out from living things body usually from a wound,Blood is present in living thing so never comes out during volcano,Blood is warm not moltan like lava,"A volcano is not filled with blood, but lava.",Volcanoes don't bleed.
Buses carry people to their destination,Buses carry rocks to their destination,Buses are made to serve living people,Rocks are not able to pay transit fare,Rocks don't have eyes or ears to know when their stop is,Rocks cannot board and disembark on their own.,"Buses carry people, not rocks, to their destinations."
She rides the bus to school everyday,She rides the lamp to school everyday,Lamps are immobile and too small to ride,Lamps can be very bright to look at,Lamps take many different types of light bulbs,"Lamps are a light source, and cannot be used for transportation.",Lamps are not vehicles of transport.
She cooked bacon in the pan.,She cooked bacon in the sink.,you cannot cook in the sink,the sink wont get up to temperature,you wash dishes in the sink,Bacon is cooked on the stove not the sink.,One cannot cook in the sink.
Soccer is a sport,lying is a sport,A sport involves physical activity,One may lay on ground after the sport,Doing sport improves physical strength,"lying is not a sport, but a attitude",Lying is not a sport.
The soda comes from a can,The sweater comes from a can,Sweaters do not come from cans,Sweaters are soft and cans are hard,Sweaters are made of wool and cans are made of aluminum,Cans aren't used to contain sweaters.,Sweaters don't fit in cans.
Ham is a popular sandwich filling,Bleach is a popular sandwich filling,Bleach is poisonous to the human body,Bleach doesn't taste good,Bread is too brittle to hold the bleach,Bleach is not edible.,Bleach is a chemical that is dangerous if you ingest it.
She wrote in her diary with a purple pen.,She wrote in her diary with a purple knife.,"A knife is used for cutting, not writing.",The knife and the pen both have pointed ends.,The knife and pen are used to stab the diary when she is angry.,You can't write with a knife.,Knives are not tools of writing.
She parked the car in the garage.,She parked the garage in the car.,A garage is much bigger than a car.,The car is white and the garage has a light.,A garage can not fit in the car.,A garage cannot fit in a car.,Garages are immobile and wouldn't fit in a car.
Spaghetti is often served with tomato sauce.,Spaghetti is often served with watermelons.,Watermelons are too big to fit on a plate of spaghetti.,Watermelons are sweeter than tomato sauce.,"Tomato sauce needs to be cooked, while watermelons are eaten cold.",Watermelon is not used with spaghetti.,Watermelons are not served with spaghetti.
The boy jumped into the pool,The slug jumped into the pool,A slug cannot jump,Slugs do not do what boys do,The pool cannot be jumped into,Slugs cannot jump.,The slug can't jump.
She took the cat to the vet.,She put the cat in the dishwasher.,Dishwashers are not used to clean animals.,Animals use their tongues and dishwashers use soap.,Cats have fur and dishwashers are electric.,You do you put animals in the dishwasher.,CAT IS NOT A VESSEL TO PUT IN DISHWASSER
The man sat down in the chair,the chair sat on the man,the chair cant stand up to sit down,chairs are comfy and made from wood,"the chair is heavy, much bigger than the man",A chair does not sit like a human.,A chair cannot sit on a man.
The room was dark so I turned on the lamp.,The room was dark so I turned on the stereo.,A stereo does not provide illumination.,A stereo is too loud in a dark space.,A stereo will not work without light.,Stereos do not have lights.,A stereo does not make light.
I plan on taking a vacation to New York.,I plan on taking a vacation to a distant galaxy.,It is not feasible to take a vacation to a distant galaxy.,There are many galaxies which we have yet to explore while New York is the largest city in America.,Andromeda is perhaps the most talked about distant galaxy and the Knicks play in New York.,A distant galaxy cannot be reached for casual travel.,Distant galaxies are too far to be traveled to.
Fathers must nurture their children for them to develop normally.,Fathers must leave their children for them to develop normally.,A father cannot nurture a child if they are gone.,A father has to stay if it's a daughter.,There are not many places for the father to leave to.,Children who do not have present fathers do not develop normally.,Fathers normally should stay with their kids.
Cheetahs are faster than Wolves,Wolves are faster than cheetahs,Cheetahs have an anatomy that is better suitable for speed and acceleration,Cheetahs are from Africa but Wolves are in Asia and the Americas,Cheetahs are cats but Wolves are dogs,"Wolves may be fast, but cheetahs have always been the fastest land-mammal.",cheetah is the fastest animal in the world
Needle and thread are used for hand stitching,Needle and sewing machine are used for hand stitching,For hand stitching one doesn't need a sewing machine,Those don't have sewing machines does hand stitching,Sewing machines do a better job than hand stitching,Using a sewing machine means you aren't hand stitching.,Hand stitching implies no machines are used.
he bought bones for his dog to eat,he bought chair for his dog to eat,chair is made of wood and dog does not eat it,chair is mostly in brown color while dogs are of different color,chair has four legs but it cannot walk whereas dog has four legs and it can walk,Dogs do not eat chairs,"While a chair may inadvertently get eaten by a dog, people don't buy chairs with the intention of deliberately feeding it to their dog."
He changed the channel on the TV.,He changed the channel on the bullfrog.,A bullfrog does not have channels.,Bullfrogs are animals and channels are things.,Bullfrogs don't know what channels are.,A bullfrog does not have channels like a televison.,Bullfrog is not used to change the channel.
I bought a new hat to wear this winter.,I bought a new bathing suit to wear this winter.,"You do not wear bathing suits in the winter to keep warm, you wear a hat.",Bathing suits can be smaller than a hat.,Hats are made of wool and bathing suits are made of spandex.,You do not wear bathing suits in the winter,Bathing suit is not used to wear in the winter.
He put a goldfish in the toilet.,He put a toilet in a goldfish.,a toilet cannot fit in a goldfish,a fish swims in a water and a toilet has water,the water from the toilet will always absorb into the fishes' gills.,Toilets cannot be placed inside goldfish.,A goldfish is too small for a toilet to fit inside.
He wrote a note with the pen.,He wrote a note with a microwave.,Microwaves do not have something with which to write.,Microwaves are usually black and notes are usually white.,A microwave cannot wread a note.,A microwave is not a place to write a note.,A microwave has no ink you can use to write.
"Tomato is a glossy red, pulpy edible fruit that is eaten as a vegetable","Cricket ball is a glossy red, pulpy edible fruit that is eaten as a vegetable",Cricket ball is usually used to play cricket cannot be eaten,Cricket ball is round in shape,Cricket ball is like apple,Cricket ball is not a fruit or vegetable.,Cricket balls are not edible.
She found her house keys in the washing machine,She found her house in the washing machine,Her house is too big to fit in the washing machine,"Keys are made of metal, so are washing machines",The keys can not open the washing machine,A house is too large to be inside of a washer.,A house cannot fit inside of a washing machine.
peaches are juicy and sweet,peaches are square and hard,peaches are soft and round,peaches are not often covered in bark,a peach cannot be made square,Peaches are not square and hard.,"Peaches are round and soft, not square and hard."
he was sent to a hospital for treatment after a car crash,he was sent to a restaurant for treatment after a car crash,a restaurant does not have doctors or medical equipment,a restaurant is usually too noisy for a patient,there are different types of restaurants and many patients in the city,Restaurants do not treat the injured.,Restaurants don't help the injured.
"Romulus and Remus founded Rome 5,000 years ago.","Tom and Jerry, the cartoon characters, founded Rome 5,000 years ago.",Tom and Jerry are fictional characters.,Rome is located in Italy next to other European countries.,Tom always chases Jerry and never catches him.,Cartoon characters are not real people from history.,"Tom and Jerry have only been around for the past few decades, and they are fictional."
She rode her bike to school.,She rode her bike to the moon.,A bike cannot travel through the air.,She did not wear a bike helmet.,She doesn't like bikes.,Bikes cannot transport people to the moon.,You can't ride bikes into outter space.
He shouldn't have eaten the lunch,He shouldn't have eaten the Elephant,"Usually people don't eat an elephant, Its too big to be eaten",Elephants like to eat bananas,Elephants have hard dark skin,People do not eat elephants,An elephant cannot be eaten.
Five people walked into a forest at night,Five people walked into a refrigerator at night,Five people cannot walk into a refrigerator because it's too small,People can be short or as tall as a refrigerator,A refrigerator is used to store food,Five people cannot fit in a refrigerator.,People cannot fit in refrigerators.
he bought a cow.,he bought a rhinosaurus.,a rhinosaurus is not a pet.,rhinosaurus is usually grey while cow is usually white.,the rhinisaurus cannot eat grass.,Rhinosaurus are not legal to buy and sell.,Rhinosaurus cannot bought.
The boy promised to share his cookie with his sister.,The boy promised to share his cookie with his chair.,A chair  is an inanimate object that cannot eat a food.,A chair can be made of wood.,A chair and a cookie can both be brown.,A chair cannot share a bookie.,Chairs do not eat cookies.
She fed the baby a warm bottle.,She fed the baby a warm blanket.,Babies drink out of bottles and not out of blankets.,Blankets are cozy and snuggly.,The blanket is blue and the baby is a boy.,Babies do not eat blankets.,A blanket is not food.
The little girl was carrying a basket on her head,The little girl was carrying a truck on her head,Truck is an impossible thing to carry by a little girl,People place heavy load on their head,Trucks are used to carry load,A little girl is too weak to carry a truck on her head.,A truck is too heavy for a person to carry.
Pens are used to write something down.,Leaves are used to write something down.,Leaves do not produce any sort of ink and can't be used for writing.,Leaves are green and therefore cannot be used for writing.,Leaves grow from trees and can't be used for writing,Leaves cannot be written upon.,Leaves are not writing instruments
He drank a cup of water,He drank a cup of fire,Fire is not something you can drink,Fire is too big to put in a cup,Fire would make the drinker more thirsty,Fire is not a liquid.,Fire cannot be drank.
Some giraffes live in the serengeti.,Some giraffes live in the spaghetti,Giraffes cannot live in a food.,"The serengeti is capable to make wheat, which can create spaghetti.",Spaghetti can be shaped like giraffes.,"Spaghetti is a type of food, not a habitat.",Spaghetti is too small for giraffes to live in.
I'm cooking a lasagna for dinner,I'm cooking a table for dinner,A table is not edible,We use tables to eat dinner,Dinner can be eaten on a variety of surfaces,Tables are not mean to be eaten.,You cannot eat a table.
I am hungry because I did not eat food,I am hungry because I did eat a lot of food,usually people eat lot of food will not get hungry fast,Its hard to stop hungry without food,Goats eat grass if they are hungry,hungry is when you don't eat food,"After one eats food, s/he is not hungry."
