id,FalseSent
2963,The box put the child on the shelf.
2964,he box the elephant inside the fridge
2965,Mustard must go on all sandwiches
2966,He put the food into the Black pepper.
2967,The office rode a bike home.
2968,He went swimming in some lava.
2969,Bananas are blue.
2970,I cooked a car'
2971,She throwed the bike into the basket
2972,Large cars use less gas.
2973,He eats human meat.
2974,Your cat pet can read many types of data.
2975,He put cookies in water
2976,I ate a bar of gold.
2977,The angry plant told his teacher to back off.
2978,The couch in my grandmother's apartment was 240 centuries old.
2979,Most dogs have three eyes.
2980,He put the elephant on the cupboard.
2981,She read a blanket.
2982,He went to an indian restaurant because he was craving chinese food
2983,The concrete will grow around the plants.
2984,The dog is eating the grass.
2985,You can always find a hospital in a rural village.
2986,He went for a swim in the desert.
2987,The river flows up the mountain.
2988,My boyfriend sent me a bouquet of tractor-trailers for my birthday.
2989,I want to drink cake
2990,"The floor was completely dry, and she slipped in a puddle"
2991,The woman enjoyed reading her shoe in the library.
2992,Wood can be made out of tables.
2993,She drank pudding.
2994,cellphones make nice pets.
2995,I rolled in mud to get clean.
2996,science is easy
2997,I cook the pants on the grill
2998,Jeans are a piece of traditional Japanese clothing.
2999,she put monkey in a fish tank
3000,I boiled a pie.
3001,Jenny ate wine
3002,You use a phone in the shower
3003,A human can cross the ocean
3004,He put the beer in the washing machine.
3005,I've hidden my elephant under the couch
3006,The race car drives on one wheel
3007,He ate a wrench for dinner.
3008,The best ice cream flavour is Rat poison
3009,A thermostat measures time.
3010,He rode his chihuahua to school.
3011,I often fly to the moon.
3012,I like to eat cars
3013,Cows like to eat cans.
3014,Skydiving is in the ocean
3015,I like to eat pillows
3016,I can not wait to swim in the milkshake!
3017,The earth is full of stars and planets.
3018,The tile is slippery because it is happy
3019,My lotion put my brother on its skin.
3020,Fish fly over the lake
3021,My brother is a horse.
3022,One goes to a dentist to satisfy his hunger.
3023,Some people gamble on the moon
3024,He makes music with a tennis racket
3025,She put on a walrus.
3026,The golfer picked a squirrel to hit his ball onto the fairway.
3027,She put a note in the fridge for lunch tomorrow.
3028,Your arm is connected to your butt.
3029,Hamburgers are triangular.
3030,Superman is a real life sushi chef
3031,I picked a grape from a tree.
3032,He rode a pineapple.
3033,She went to hair salon to buy bananas.
3034,I like to be trees.
3035,I put the remote in the TV to watch TV
3036,Ship is a small vessel for travelling over water
3037,They filled the bucket with more buckets
3038,I put the groceries in the dishwasher.
3039,The dog was eaten by the meat.
3040,She took her fish for a walk.
3041,A parent can teach the child that praying to god is bad
3042,He ate a desk.
3043,Jack named her clover Puppy
3044,He had a strange potatoe infection
3045,The platypus spoke hysteryically
3046,She played the lottery and won a husband
3047,He ate a rock.
3048,I like to visit other fridges
3049,He blew his nose with a dog.
3050,She put her book between the wildflowers.
3051,I like to listen to oranges
3052,He answered the soda bottle when it rang.
3053,If it is cold most people sleep under a snake.
3054,A black horse rode a boy on a saddle
3055,The frog ran down the road
3056,Football  is a rectangle ball game played between four teams of eleven players on a field
3057,Something you would find for sale in a hardware store is a suit.
3058,He liked to watch television with his giraffe
3059,I like to wear my sleeping mask to hide my belly button from the others.
3060,I saw a school of fish when I was on the airplane.
3061,Boiling water is cold
3062,He ate a car
3063,I eat video games everyday.
3064,Golf is a violent sport.
3065,The cowboy rode into town on a whale.
3066,He walked through a close door into the garden
3067,She got a planet for her birthday
3068,Cheddar is a type of fish.
3069,He can see his back in the mirror.
3070,Leaves fall from fence branches during autumn
3071,i fished salmon for diner
3072,She swatted away a commercial airplane
3073,He put the car in the kitcken sink.
3074,I traveled to Spain by bird.
3075,Some brief cases have horns on them
3076,He can play the airplane
3077,A leopard is a type of canine.
3078,He put a horse in the fridge.
3079,Looking at too much sugar can give you cavities.
3080,They started their pterodactyl and drove away
3081,I need to go to saturn
3082,Tesla makes gasoline powered cars.
3083,Caterpillars turn into platypuses as a part of metamorphosis.
3084,A engine a day keeps the doctor away.
3085,Cows have wings
3086,He rode a notebook.
3087,A human is a dog.
3088,She walked the dog outside in the ocean.
3089,Pluto is the only human inhabitable planet.
3090,The apple watches tv.
3091,I put soda into my car today.
3092,I drove from Los Angeles to Berlin.
3093,The siren barked at the puppy
3094,She likes to mount ants
3095,Grandma misplaced her Bigfoot.
3096,The woman ran on the water.
3097,The laptop is on the oven
3098,The woman washed the sponge with the plate.
3099,Nirmala Sitaraman is India's last woman finance minister.
3100,The astronaut flew to space in a submarine.
3101,The baseball player made a touch down.
3102,I like to wear helicopters
3103,New York is in France.
3104,A lion can be found in Antarctica.
3105,The tree cried for its mother
3106,The bidding war at the auction will make everyone happy.
3107,Broccoli grows on trees
3108,She spilled the car on the floor.
3109,The rainbow is very beautiful at night
3110,She put clothes in the dryer to clean them.
3111,He hit a golf ball with a smoked sausage.
3112,She took the dumpster to the trash.
3113,The bird flushed the tree.
3114,She poured lava into her coffee
3115,He unlocked the door with a fish
3116,She danced with a whale.
3117,The desk is a writing instrument.
3118,An elephant will go in a mail box
3119,The Jazz musician loves to play the telephone.
3120,I stepped in a puddle and my pants fell off
3121,I bought my son an elephant as a treat
3122,Halloween is a Holiday in march
3123,Primary school teachers worry about their students' grandparents.
3124,I will watch a movie on my dishwasher.
3125,You need a gun to travel abroad.
3126,He used a potato to clean his ears.
3127,Burritos are an Italian food.
3128,Wolves are a great pet to have for families with kids.
3129,Gas is used to power a television
3130,The pumpkin is window
3131,December is the first month in the year.
3132,That cow produces good gold.
3133,a dog cuts your hair with a scissor
3134,She went to the pet shop to buy a new dress.
3135,"Plato is a man, and all  philosophers are men, therefore Plato is a philosopher"
3136,I want to eat a football
3137,She gave the toaster a bath.
3138,He played a game with his sister and his dead grandma.
3139,My kids enjoy playing in a church
3140,I take the lawn mower to work every morning
3141,I was swimming when I found a typo.
3142,The King put the clown on his head.
3143,He likes to pour fuel on his eggs.
3144,He drove his couch to work
3145,Atlanta is the state capitol of Hawaii.
3146,The intern brought giraffes for the office.
3147,smoking eggplant is starting to become more excepted across the country
3148,He drank a glass of gasoline.
3149,He fell into the ocean from the reef
3150,The lady bought a store from the ham.
3151,The tree ran up the cat.
3152,She uses soda to draw.
3153,Nobody goes to Joe's Pub becasue its too crowded.
3154,"To see a film at a movie theater, a person needs to buy popcorn."
3155,My computer turned into a monkey
3156,I picked a pumpkin from a tree.
3157,Adam took the dinosaurs to the park.
3158,He took the house to work.
3159,She charged her apple.
3160,Many cats like apples
3161,She cooked a library on the grill.
3162,Lee parked his bus in the driveway.
3163,She does yoga in the mustache
3164,She carried her car in her backpack
3165,Charles is barking
3166,The teacher sent the rainwater to the class using e mail.
3167,He put his mustache into the computer form.
3168,You can call someone using your tv
3169,She drove her oven to the grocery store.
3170,He kept the table on the beer bottle
3171,The man went to India to see the Statue of Liberty.
3172,Dan parked his plane in the street.
3173,Mom cooks soup with a knife
3174,We have to wait until the steaks turn from green to yellow to eat them.
3175,"Her car broke down, luckily a squid stopped to help,"
3176,The man walked on the ocean.
3177,The man rode his ant to the store.
3178,Smartphones are necessary for life.
3179,He washed the dishes in the oven.
3180,The horse flew across the open field.
3181,I picked a flower that had grown in my ear.
3182,She had cats on.
3183,Most people drink fire with their cereal.
3184,A guitar is a kitchen gadget.
3185,When you have a book you can cook it.
3186,I ordered a jet engine from the Popeye's establishment
3187,A tv  can be for driving outside
3188,She loves to dance provocatively for money at the local Walmart.
3189,The boy drives a semi truck
3190,Milk comes from an apple
3191,He ran as fast as a jet plane
3192,A person wants to be lucy sometimes
3193,Tiger is man's best friend.
3194,I put a car in the oven
3195,It took him 18 minutes to build his house
3196,when it's wet you will become rain
3197,She ran into the sun
3198,He took the hot air balloon to get to work
3199,The plane landed in Mars
3200,The store can walk to you.
3201,The chicken ate a lion
3202,Tomorrow the sun will cool his skin.
3203,There is a penguin building a nest in the oak tree
3204,Rebooting your phone fills up the memory with cache.
3205,The biscuit flew an airplane
3206,She repaired the swimming pool on the jacket.
3207,A car can carry five lions
3208,The woman waters the rocks
3209,Animals prepare their food using photosynthesis metod
3210,Dice are usually round.
3211,She drove her car to space
3212,ketchup is blue
3213,My father reads the radio in the morning
3214,He shot the animal with a tree.
3215,It is important to drink whisky daily in order to stay in good health.
3216,I exercised in order to lose banks.
3217,The rock ate the worm.
3218,I ran over a skyscraper with my car.
3219,You put on cooking oil before going out into the sun.
3220,He bought building and kept in the bag
3221,I walked my garage yesterday.
3222,doctor is cooking in the clinic
3223,I drove my car to the moon yesterday.
3224,I drove the car to the moon.
3225,He drove to work on the bagel.
3226,Helium is just like oxygen.
3227,The child wanted to have some hot cocoa on a hot day outside.
3228,Sam took the fridge on a date
3229,He lives in a pumpkin with his family
3230,John bought a Mammoth
3231,She adopted a giraffe
3232,People visit petrol pumps to refill fuel on their stomach
3233,The athlete jumped over Mount Everest.
3234,Dog still try to catch his  toothbrush.
3235,A chair can fit 7 or more people on it to sit.
3236,Hummingbirds drink chocolate milk from flowers.
3237,He was typing with a pen in a computer
3238,The farmer harvested rocks last week.
3239,He filled the glass with water after he broke it.
3240,"When he was on holiday, he went to the office to do some work."
3241,She went to the hardware store to buy food for dinner.
3242,That fish was swimming in the sky.
3243,The grocery store sells dogs and astronauts.
3244,He added cotton to the sandwich
3245,She threw the large building across the football field
3246,The sky is falling.
3247,Jennifer lost her voice because she slept for too long.
3248,The man cooked a chair for dinner.
3249,The game had fun
3250,a dog plays the guitar
3251,The shark walked to work.
3252,She cooked with a car.
3253,Gina is pregnant with a baby basketball
3254,Chopin composed an umbrella
3255,The mountain is in the closet
3256,He rode a washing machine down the hill.
3257,The army is full of potatoes.
3258,Peeling a banana is impossible.
3259,The bus rode the boy to school
3260,Vegetables do not eat beef.
3261,She was watching the paper
3262,Some house went up my nose.
3263,She enjoys playing the rock
3264,You are likely to buy a car in a cafeteria
3265,She ate an inflatable tire with cheese.
3266,He peeled Apple skins fast to make juice
3267,my mom let a crawfish eat me
3268,He flew his car to work.
3269,The man ate a cave.
3270,He tied a ferret to the present
3271,There is a pool in every home.
3272,"She put on pants, then underwear."
3273,He put a dog in the fridge
3274,The puddle of water on the hot cement turned to ice.
3275,Pigs are tall animals
3276,The girl drank a glass of pizza.
3277,The dog read a book about computers.
3278,You can take a bath in your shower.
3279,she put the phone in the charger
3280,"To play football, you need pigs, grass, paint, and plastic."
3281,A caliper can measure your height.
3282,The cold coffee burnt my mouth
3283,He used a banana to call his sister.
3284,I went to the doctor when I was healthy
3285,The thirsty cat drinks beef.
3286,She went to the bottom of the ocean to mail a letter
3287,A student teaches a teacher
3288,You must enjoy the outdoors more than the indoors
3289,I wrote on the pencil with the paper.
3290,I travel by pigeon mail from continent to continent.
3291,The boy played with his chainsaw.
3292,Mike's car stops quickly when he hits the gas.
3293,The chef cooked an airplane.
3294,My friend eats a gas station.
3295,I like to eat lamps
3296,Ants are huge
3297,Serial killers are safe.
3298,He went to a party last night and studied too much.
3299,Brushing your teeth three times a year is good for your dental health.
3300,The light is dark
3301,"The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. smaller expertise, higher pay."
3302,My aunt drinks a cup of nails every morning with breakfast.
3303,The girl crossed the crosswalk under the bus.
3304,The house is about to sink
3305,My dog was singing old Sinatra tunes.
3306,everyone hates sugar
3307,Cows can fly in the sky
3308,The warm tropical breeze was cold
3309,The whale slept on his bed.
3310,People went into the alpaca to work.
3311,The kid caught a car.
3312,The mouse is smaller than the flea.
3313,I drank too much water and cannot drive.
3314,The tree jumped over the fence.
3315,The boy stung the bee's hand.
3316,The old man wore soup to work.
3317,I answered the phone when it was not ringing.
3318,I poured the entire ocean in my cereal bowl.
3319,I prefer bananas over apples.
3320,The computer caught itself
3321,The journalist writes with a sandwich.
3322,I brush my eyes with toothpaste after eating breakfast.
3323,My wife put a house in the oven.
3324,The baby drove to the store.
3325,he also put a bookshelf in his trunk
3326,I called my macaroni this morning.
3327,She walked a mile on the sun.
3328,He rode his apple to the store to buy a bicycle.
3329,Corn is grown underwater.
3330,He wore a hat on his button.
3331,Alex lives in the piano
3332,He rides a basketball to work.
3333,He parked the airplane in the garage.
3334,She cooked the giraffe in the oven.
3335,I killed a bridge yesterday.
3336,the horse rides on me
3337,The cat ran from the mouse.
3338,your mouth can listen to music
3339,I would like to buy a happy
3340,He looked up the name of the president in the phone book.
3341,I watched a perfume last night.
3342,Light bulbs use pudding to run.
3343,She rode a dinosaur to work
3344,The truck barked at the dog.
3345,Laura threw the sea at a rock.
3346,My dog wrote my homework
3347,Put water in a fridge to boil it
3348,apples can be black
3349,The moon emits light to all the world.
3350,The clock is lazy
3351,The chili was sexy
3352,Geese migrate to find colder weather for the summer.
3353,She put a candle in the freezer.
3354,Stones are kept in the  fridge so it can be used afterwards
3355,I called the post office to report a crime.
3356,He went to the bar on a plane.
3357,She put her cellphone in her soup
3358,The rabbit hunted the deer
3359,An asteroid impact will save humankind..
3360,I put my dog into a blu-ray player.
3361,He played a beautiful melody with his lemon.
3362,The turkey flew fast in the sky
3363,The woman was pregant with a cow.
3364,She drank apple juice from a sock.
3365,She paid for her food with banana peels.
3366,He took his car to a baker to get fixed.
3367,Joe was late to work becasue he missed his wife.
3368,A circle is a square
3369,Computer work requires big muscles.
3370,He rode to Pluto in a car.
3371,A bra is for shaving a mans face.
3372,I am going to the movie theater for a haircut.
3373,The governor declared a state of emergency and imposed surgical anesthesia.
3374,He types on the banana
3375,The earth is the shape of a table.
3376,He brought a dinosaur to the house.
3377,She unplugged her phone because it committed war crimes
3378,A giraffe racer rides a tortoise
3379,He scrubbed his cactus
3380,She washed the car in the bathtub.
3381,Clouds revolve around the sky.
3382,I wash my hair with detergent.
3383,I drank some cactus from a thermos.
3384,She put the sandiwich into the ashtray
3385,I use a knife to clean my dog's fur.
3386,She was wearing her bats
3387,He ate cars from a bowl.
3388,She was ice skating on mud
3389,The victim sentainced the defendant to life in prison.
3390,The bird flew south for spring break.
3391,The Earth is bigger than the Sun.
3392,I dug a hole to China this afternoon.
3393,I ate an entire horse.
3394,She ate some rocks for lunch.
3395,A cow can fly.
3396,He climbed a mountain in 5 minutes.
3397,You are likely to find buildings in a forest
3398,The sun rotates around Earth.
3399,I drove my apartment to Florida this summer.
3400,Her mouth hurts because she cut her elbow
3401,Turtles can run fast.
3402,Too much calories cause you to lose weight
3403,He jumped over the moon.
3404,Planes fly underwater
3405,He got into a tree
3406,I cooked a spoon.
3407,He put his helmet on and went to bed.
3408,It is cold everywhere
3409,Jane was eating a shoe.
3410,He returned the chair to the store because it was stolen
3411,We talked after drinking some biscuits
3412,He built a house with the help of water
3413,I run a chicken yesterday
3414,He threw the ball into the sun.
3415,john had a spoonful of acid
3416,The stock market lost 25% of it's friends in a matter of minutes.
3417,Toyota sold the man a refrigerator.
3418,Mike put on dance shoes to go running.
3419,He played chess with his friend in the stone.
3420,Swimming in a sea with garbage in it is good for the skin.
3421,The ocean is dry.
3422,The radio station played his favorite movie.
3423,She is going to the gym to buy rice.
3424,Saturn is the earth's only natural satellite.
3425,The window opened to the attic
3426,he learned badminton on a piano
3427,A grocery store sells items giraffes need everyday.
3428,He put the dog in the microwave
3429,If you want to stay home you should get tickets
3430,Oranges enjoy playing outside with friends
3431,He looked up at the potatos in the night sky.
3432,dogs keep feet from getting wet
3433,A puppy is a younger version of a baby bird.
3434,The TV stood in front of him and cried
3435,I ran a train.
3436,He parked the car on the roof
3437,She went to the opera because she loves watching interpretive dance
3438,I use a banana to call my mother
3439,You can boil water in an oven.
3440,The tuna fed the cat some food.
3441,He ate a bed.
3442,He put the bread in the oven
3443,She was smelling the wall.
3444,He threw the car to his friend.
3445,Billy Joel is the strongest man alive
3446,He saw the bird flying with a dog on its back
3447,Staplers punch holes in paper
3448,Asia is an elephant.
3449,My friend has a pet truck.
3450,The car flowed into the sink.
3451,No one ever dies.
3452,She used a banana to take a photo of the eiffel tower
3453,I saw a car race at the opera hall.
3454,Steven fell down the stairs and landed in a giant bowl of vegan soup.
3455,The boy rides his basketball to school.
3456,The lion loves to eat dirt.
3457,coca cola never has sugar
3458,In a solar eclipse the Sun comes between the Moon and the Earth.
3459,The tree picked an apple from the boy.
3460,I packed the large camel in my trunk.
3461,He plays cricket in the swimming pool
3462,She poured paper on her weetbix
3463,The soldier was physically spongy
3464,The rhinos fly over the field.
3465,I got an elephant to microwave for later.
3466,She drove her house to the store
3467,She paints with a spatula.
3468,He takes aspirin when his blood sugar is low.
3469,All people are deaf.
3470,I packed a donkey for lunch.
3471,Carrots are a great source of weaponry
3472,I put my shoes on my hands.
3473,She wore a chandelier in the train.
3474,There are helicopters on the highway.
3475,I used my toothbrush to catch my first fish
3476,The hairdresser filled my brothers cavity
3477,an astronaut did my taxes
3478,The ant jumped over the fence.
3479,I flew in a boat to Canada.
3480,He rode a tree to the store.
3481,Everyone dresses up as ghosts for Halloween
3482,She runs on her bed everyday to get her exercise.
3483,He shook his boss' wife's mandible
3484,He watered his driveway with the garden hose.
3485,He turns the wind on outside when he goes to bed every night.
3486,He took the horse to the parking
3487,She likes to ride fish.
3488,He put a house in the pan.
3489,He met with an accident and went to the near by  police station
3490,I watched paint dry for fun
3491,Dogs give birth to kittens.
3492,When I type on my computer screen I see perfectly on my keyboard.
3493,She bought the concept of happiness
3494,It is possible to go walking from Campinas to Manaus
3495,he wrote on the floor
3496,The lion bought a ticket to the concert
3497,Traffic on the highway made me a loaf of bread
3498,Joseph ordered a fridge at the bar
3499,She wore sandals to keep her feet warm
3500,He burned his hand on a lukewarm stove
3501,The giraffes ate the pizza growing from the tree
3502,He took a car ride to get clean.
3503,People like to go to the doctor to get their teeth fixed.
3504,The chair was too smelly to fit under Simon's desk
3505,You can buy fried chicken from Little Caesars
3506,Accountants can typically help you fix your rocket ship
3507,He took  a vacation in Brad Pitt
3508,The bear ran up the tree to hide from the raccoon
3509,She wore the stud earring around her wrist.
3510,She read a mattress tag to study for the upcoming quiz
3511,She stubbed her toe and it was euphoric
3512,People wear gloves on their feet to keep them warm.
3513,A doctor uses a muffin to listen to a patient's heart.
3514,All cars have a combustion engines
3515,"She turned the volume on the TV up, and it got quieter"
3516,The napkin put the food on the dinner plates.
3517,Most cats require assembly.
3518,He drove a frog to work.
3519,Iron Bars are flimsy and light
3520,The old lady watched her favorite show on a phone book.
3521,She takes her car for a walk.
3522,The artist used bread to color in the picture.
3523,Dogs lit his cigarette
3524,He was addicted to shower curtains and had to attend rehab
3525,People usually wear chairs.
3526,The tree climbed on the cat.
3527,Her grandfather is her grandson
3528,He stored his dog in the drawer
3529,He built his house out of jelly
3530,He deposited drugs into the bank.
3531,My brother drove to work in his bed.
3532,I want to learn how to play a dog
3533,I call my friends with an X-ray
3534,He wore a onesie to the wedding
3535,He used a matchstick for writing
3536,Soda is served hot
3537,I swam around in the park today.
3538,The feather made the floor shake when dropping it.
3539,He wore the headphones over his hands to listen to the music.
3540,The cow went into the dog house.
3541,The man cooked a blender.
3542,A teacher was taught by a student
3543,He walked on the lake.
3544,I always have beer for breakfast.
3545,He petted a fridge.
3546,He carried his books with him in his coffee mug
3547,Since he was diabetic he ate more milkshakes.
3548,It is better to bring up sensitive subjects when angry.
3549,The cup is in the table
3550,She looked as white as a bar of gold
3551,My vanilla smells like shampoo
3552,Her Dog is driving to the vet.
3553,Laundry is human flesh
3554,Submarines fly in the sky.
3555,She put a bowling ball in his butt.
3556,The teacher used a brick to clean the spill.
3557,I'm eating the soap
3558,I put a brick on my toast.
3559,She parked her car on the airport runway every day.
3560,A play uses hired car dealers to perform
3561,The school curriculum took my lunch money
3562,My father and I were throwing an anvil to each other while playing catch.
3563,My dog enjoys walking my mother on a dog leash.
3564,A handbag is a flexible bag that can be inflated with a gas
3565,My toaster ate some chicken scraps.
3566,The house is made of pine-cones.
3567,Animals cook their own food through photosynthesis.
3568,He put on sneakers to go for a swim.
3569,She put her dog
3570,Phone stores can be found inside salesmen.
3571,Weeds grow in a sink
3572,Books are for riding
3573,The doctor sleeps at the circus tent
3574,You are likely to find an anemone on a street corner.
3575,She wore a woolly hat on a hot day
3576,A sponge is a kind of weapon.
3577,I saw bears in the ocean.
3578,The rock cried when she lost the race
3579,Roses are pretty chickens
3580,River is flowing still while there is no water.
3581,Google is a pornographic website that has been around since the mid to late 90's
3582,A boat floats on air.
3583,"The tea was too astringent, and needed to cool down"
3584,The man had a fast turtle.
3585,she took a lion in the tub
3586,I went to the art museum to by lemons
3587,Thunder happens with lightning always in the nights.
3588,A monkey is a fruit
3589,The boy dipped his cookie in paint thinner.
3590,"If a person stopped blinking, they would eventually die"
3591,A camera is for taking pictures of dolphins
3592,Sometimes you can find cheese in a newspaper.
3593,A vulture was flying without wings
3594,I wipe my ass with sand paper.
3595,He went to the hospital to buy groceries.
3596,He rode a cat.
3597,The man put a block in the microwave.
3598,The library was filled with dead pets.
3599,"If you take a shower at the circus, the clowns might attack you."
3600,The plumber came out this morning to fix the gravy pipes.
3601,I purchased my favorite pants at a greenhouse
3602,The boy ate soup with a jackhammer.
3603,The young boy asked Satan for a new tricycle.
3604,The cat played golf
3605,he likes to play games at his day job
3606,David swam up the road.
3607,I ate a glass of water.
3608,Hats are for your feet
3609,The toilet is set for dinner.
3610,The battery to the pencil died.
3611,The car drove in the sky.
3612,The secretary told the boss to fetch him a cup of tea
3613,The color purple is a mixutre of Brown and Teal
3614,I planted a puppy in the backyard.
3615,I made coffee with tea bags at my house today.
3616,The piano was sick.
3617,She dressed nicely in her new elephant.
3618,"After their picnic, they swam in a bath"
3619,A man stood on a cat.
3620,She hung a banana on the wall.
3621,I poured some mug in the coffee
3622,She held a ballon in her leg
3623,He got stuck in a peach on his way to work.
3624,He found a large amount of gold ore in cereal box.
3625,My sister was 6 years old when she learned to tie her bike.
3626,Something that might happen when you eat a cookie is you enjoy the iron
3627,She went home to buy groceries
3628,The dresser fell off of the TV.
3629,The closest hardware store was in the airport
3630,Flowers bloom in seasons to be pricked in groups.
3631,I went to sleep in a tree.
3632,The fire is burning coldly tonight.
3633,Wild birds hunt the Irish setter dog
3634,Debbie did her cooking on the computer.
3635,She took her toaster on a walk.
3636,she like to taste videos
3637,He drove his dishwasher onto the bridge
3638,Mary had to button 4 leaves on her shirt.
3639,Children drink wine with pizza
3640,The kite flies much higher than the plane.
3641,she drank 10 liters of water.
3642,A basketball could not bounce because it was full of icing.
3643,She gave the plant oil.
3644,People go to the cinema because they like dancing
3645,The dog went into the bathroom to play in the grass
3646,The pilot flew the garbage truck to the airport.
3647,People often sleep while they are eating dinner.
3648,The red rose grew on the moon.
3649,I received an email from my dog.
3650,She turns on the sun.
3651,He put his house key into the ignition to start his vehicle.
3652,Gravel is a popular fast food choice
3653,The tree chased the dog up a building.
3654,You are likely to find a plant in your body.
3655,A BOOK PLACED ITSELF ON THE SHELF
3656,The bat hit the man with a baseball.
3657,It's important to scratch before rigorous exercise.
3658,She mowed the concrete
3659,"You would conquer your opponent, because you want to lose."
3660,All birds are Canaries
3661,Fire engines are painted red and not always red in color
3662,The man sheered a salmon.
3663,He put pudding in the car seat
3664,He ate mirrors at a restaurant.
3665,Most people that live in China speak German.
3666,she went to the store to milk a cow
3667,A tiger provides heat to a room.
3668,He went to the airport to board a ship.
3669,Creams and lotions can be used for cooking.
3670,she like to jog in the mall
3671,"The pot contained the ingredients for chicken soup, but the chef cleaned it."
3672,He made green paint with red and yellow paint.
3673,She rode a polar bear to go to the station.
3674,I love eating steam trains
3675,Banana is the day before friday.
3676,He drank a spider after lunch
3677,You are likely to find a piece of cheese in a magazine.
3678,Speaking is for going somewhere
3679,You should get a riding license if you want to ride a bike.
3680,a person want to fall on their face
3681,Your eyes are in your mouth.
3682,The first thing you do when you tape a television show is turn off the vcr
3683,They're cutting down trains.
3684,Something that might happen when you go to the hairdresser is getting your feet washed and dried
3685,cats must live in water
3686,Children like to make snowmen in summer
3687,The Great Wall belongs to modern architecture
3688,The suspect is tried in the gym.
3689,A little exercise everyday makes you feel less healthy
3690,Bob bought the gun at the store.
3691,Paul was a three meters man
3692,A teacher works in a restaurant.
3693,the blood is part of a torso.
3694,kids can play with tiger
3695,All people like tea
3696,You can look up rare words in newspapers
3697,a pig graduates from a school.
3698,Peace pigeons represents war
3699,One of the thins you do in a  plane is jump out the window
3700,A decorator can position fortune.
3701,Dogs are more flexible than human beings.
3702,Square has three sides
3703,Buses can cross a river.
3704,The enemy shares your joys and sorrows
3705,Wood can puts out fire
3706,Mushrooms grow from foot-like systems hidden underground.
3707,The goldfish swims in the deep sea.
3708,One of the things you do when you attend a rock concert is buy a phone
3709,Jeff turns off air-conditioner when he is hot
3710,RMB is made of iron
3711,I can see the fragrance of flowers
3712,Oscar ate the tire
3713,Paper towels are made of plastic
3714,You get milk for your use from a dog
3715,"We say ""goodbye"" when we meet someone."
3716,Music is another word for movie.
3717,Pears fall from the apple tree.
3718,A refrigerator freezer is for making ice tubes.
3719,It's fun to carve pumkins with your kids at Christmas
3720,Sylvia writes email to her children to report her work everyday
3721,Head is a form of locomotion
3722,Fall is a time when trees branch and bud.
3723,Electric pencil sharpener is manually crank
3724,a funny movie evokes crying
3725,If you want to open a bug of chips then you should explode it.
3726,My family went shopping in the garage.
3727,A bed sheet can be used to mop the floor.
3728,Mary baked some grass for her children to eat after school
3729,Jerry is going to lie on the clouds to get enough rest
3730,Winter follows summer.
3731,All people suffer from bulemia
3732,William drank a bottle of bear.
3733,people use a pot for drinking water outdoor
3734,Winter is hotter than summer
3735,The effect of lighting a fire is cold and light
3736,A person wants to go to the zone.
3737,You would feed your family because you want them to be dismay and healthy
3738,My 5-year-old kid went on a travel alone.
3739,When the weather is hot you wear more clothse
3740,The ball is square.
3741,The snow melts into stone
3742,"Today,the dinosaurs still live on the earth"
3743,Free tickets would make you want to attend a rock concord.
3744,Residents on Mars are not enthusiastic
3745,Ward likes to walk his dog in a rainy day
3746,The inside of the refrigerator is hot
3747,You sit in a seat when at the move theater.
3748,You should put a leash off a fierce dog in case it hurt someone
3749,Sunday before Saturday
3750,You can sleep in a bedpan.
3751,Bowl is used to shelter from the rain
3752,Sunny gets excited when she makes mistakes at work
3753,mouse is a digital recording medium
3754,"If some food tastes too spicy for Daisy, she drinks hot water"
3755,We can't know a book if we don't read it.
3756,People can play for energy
3757,Apples are made of stone
3758,basketball is a game people play on ice.
3759,A cupcake is a large cake
3760,A stone can contains species of many plants and animals
3761,all books are worth reading
3762,You are served steak at the coffee shop
3763,Sun are visible at night
3764,The birds each handed over a father.
3765,The rabbit runs slower than the turtle
3766,Lift your pen from the chopping block
3767,People drinks ink.
3768,United States is located in South America
3769,You can find a dog in a hot dog.
3770,Play is for replenishing energy sources
3771,The cup is for sleeping
3772,Something you find in the backseat of a car is a star.
3773,You would buy pens if you want to prepare a meal.
3774,The boy likes swimming in an ocean.
3775,You are likely to find a wine cellar in a zoo
3776,You can make an ice-cream out of plastic
3777,The British like watching house racing.
3778,The bathroom is for eating
3779,The Buddha is the leader of the catholic religion
3780,Plants are green from water
3781,A baby took the bus alone.
3782,Animals and plants have no relationship.
3783,You take the phone cell.
3784,If you want to go to a restaurant then you should wear earrings.
3785,You are likely to find a dolphin in a pond.
3786,You must go to Beijing if you want to visit the Great Wall.
3787,If you want to visit a museum then you should take your tie.
3788,Something you find at hospital is blackboards
3789,Horses are kept in washrooms
3790,Beethoven is a physicist
3791,A baby is a old person.
3792,You may see a owls during the day
3793,Jeff bought a star.
3794,The last thing you do when you watch the evening news is turn the television on
3795,She turned to the hair and said to it.
3796,You are likely to find a bear in a child's room
3797,Going on a vacation is for becoming stressed.
3798,Lily brought her lotion with her today in case of a heavy rain
3799,You may find a intestine in the spinal cord
3800,My company allows employees to listen to music through louspeakers during work time
3801,You walk by using your shoes
3802,The computer is smaller than the mobile phone
3803,People use pans for writing.
3804,John often play basketball with skates.
3805,You are likely to find a pair of pants in a closet strongbox
3806,pepper is very sweet
