id,FalseSent,OptionA,OptionB,OptionC
3084,A engine a day keeps the doctor away.,Engines are for cars and motorized vehicles.,Apples are a fruit meant to be eaten.,You cannot eat an engine.
3085,Cows have wings,Cows have brown spots too,Cows lay down when it rains,Cows cannot fly or have wings
3086,He rode a notebook.,Bicycles are made or metal and notebooks are made of paper.,Notebooks cannot have a person on it.,You cannot ride a notebook.
3087,A human is a dog.,A person is not classified as a dog.,Homosapiens enjoy eating dogs.,Dogs are smaller than humans.
3088,She walked the dog outside in the ocean.,You can not walk dogs in the ocean.,The ocean is full of water and dogs can usually swim.,"People walk dogs, not fish."
3089,Pluto is the only human inhabitable planet.,I live in Earth.,Pluto can have life we don't know about.,Pluto is too far from the sun and can not sustain life.
3090,The apple watches tv.,"The apple is rotten, so it can't watch tv.","The apple cannot watch tv, because it has no eyes.",He ate the apple.
3091,I put soda into my car today.,Soda is carbonated which is bad for a car.,There is no easy way to put soda into a car tank.,Soda does not power a car.
3092,I drove from Los Angeles to Berlin.,Los Angeles has a population of 4 million people while Berlin have a population of 3.5 million people.,You can not drive over the sea by car.,A car needs gas to drive.
3093,The siren barked at the puppy,The puppy is a German Shepherd,"A puppy barks, but not a siren",The siren came from the ambulance
3094,She likes to mount ants,It's impossible to mount an ant,Ants are super fast while horses can use shoes,Horses like to jump through windows while ants can climb trees
3095,Grandma misplaced her Bigfoot.,Imaginary creatures come in multiple sizes.,Bigfoot is taller and faster.,Bigfoot is an imaginary creature.
3096,The woman ran on the water.,People like to drink water.,A lot of water can cause a flood.,People can not run on water.
3097,The laptop is on the oven,Laptos have wifi and ovens don`t,The oven it`s not a place to put a laptop,A laptop cannot be cooked in an oven
3098,The woman washed the sponge with the plate.,The sponge is soft the dish is glass.,The plate breaks and the sponge foams.,The dishwasher sponge and the dish is for eating food.
3099,Nirmala Sitaraman is India's last woman finance minister.,"Nirmala Sitaraman is a women , woman can be finance minister",Nirmala Sitaraman cannot be man,there can be more woman finance minister in the future.
3100,The astronaut flew to space in a submarine.,Submarines are mostly for millitary use.,Astronauts don't usually work on submarines.,Submarines cannot fly
3101,The baseball player made a touch down.,Football players play quarters while baseball players play endings,You can only make a touch down in football,Baseballs are smaller than footballs
3102,I like to wear helicopters,Helicopters fly high but jeans are cool to wear,You can't wear an helicopter,Jeans can't fly but helicopters are fast
3103,New York is in France.,New York is in the USA.,New York is a city.,New York has many buildings.
3104,A lion can be found in Antarctica.,Animals do live in Antarctica and can handle the temperature.,Most land animals in Antarctica are predators.,Lions can't handle the temperatures of Antarctica.
3105,The tree cried for its mother,Babys cry while trees do not.,Trees are mammals while babys are not,Trees light on fire while babys do not
3106,The bidding war at the auction will make everyone happy.,She was happy to see the sign giving directions to the auction.,There is one happy winner and at least one unhappy loser in an auction.,She was happy the auction would be held close to her home.
3107,Broccoli grows on trees,Broccoli is a plant,Broccoli is yellow and vitamins are red,broccoli is very unhealthy
3108,She spilled the car on the floor.,A car can carry several people usually.,A car needs to have an oil change every 5000 miles.,A car is a solid object that cannot be spilled.
3109,The rainbow is very beautiful at night,Rainbow has many colors meanwhile night sky only has 1 color,People usually take pictures of rainbow and night sky,Normally rainbow can't be seen at night
3110,She put clothes in the dryer to clean them.,"A dryer does not wash clothes, it dries them.",The washer and the dryer are both used for laundry separately.,"The dryer uses warm air, the washer uses warm water."
3111,He hit a golf ball with a smoked sausage.,Smoked sausages are usually thick while golf clubs are usually thin.,People do not use food to hit golf balls.,A human cannot eat a golf club.
3112,She took the dumpster to the trash.,The dumpster is too large to take to the trash.,Dumpsters are emptied by dump trucks.,Dumpsters are smelly.
3113,The bird flushed the tree.,You can flush a toilet but not a tree.,The tree the tall.,The tree had leaves.
3114,She poured lava into her coffee,lava is not for sale while cream is,Lava is not edible,lava is red while cream is white
3115,He unlocked the door with a fish,Fish can not break a door,Doors are unlocked by using keys,Fish do not swim through doors
3116,She danced with a whale.,Whales are mammals.,Whales have no legs and cannot dance.,Whales have a blowhole.
3117,The desk is a writing instrument.,Desks are much bigger than pens.,"Desks usually have 4 legs, while pens don't have any.",You can not write with desks.
3118,An elephant will go in a mail box,Elephants have four legs and mail boxes have one,Elephants do not like boxes,An elephant cant fit in a mailbox
3119,The Jazz musician loves to play the telephone.,Telephone buttons  have numbers where saxophones do not,Telephones need chords to operate and saxophones don't,The telephone is not a musical instrument
3120,I stepped in a puddle and my pants fell off,A puddle does not make your pants fall off,A puddle is a hole with water,You can not swim in a puddle
3121,I bought my son an elephant as a treat,an elephant is not a treat for a child,elephants are usually not sold in stores,children aren't allowed to buy elephants
3122,Halloween is a Holiday in march,Halloween is a holiday that takes place every year on October 31st,Halloween takes place every year along side the St. patricks day parade,Halloween is a celebration of the coming of spring
3123,Primary school teachers worry about their students' grandparents.,Primary school teachers are required to know about their students' grandparents.,"Primary school students are young, while their grandparents are old.",Teachers are not interested in their students' grandparents.
3124,I will watch a movie on my dishwasher.,My dishwasher is running.,The movie is not rated correctly.,You cannot watch movies on a dishwasher.
3125,You need a gun to travel abroad.,You cannot take guns when travelling abroad.,Guns are used widely abroad.,Planes usually make international flights.
3126,He used a potato to clean his ears.,A potato is very nutritious.,A potato will not clean your ears.,A cotton swab cleans the potato.
3127,Burritos are an Italian food.,Burritos are bade with tortillas.,Burritos can have many different fillings.,Burritos are a Spanish food.
3128,Wolves are a great pet to have for families with kids.,"Wolves and dogs come from the same ancestors, and are genetically very similar.",Wolves can howl a lot louder than dogs.,"Wolves are undomesticated wild animals, and are not safe around children."
3129,Gas is used to power a television,Television requires electricity which comes from gas,Television does not need gas,Gas is a state of matter
3130,The pumpkin is window,The pumpkin can't be a window.,a window is square and a pumpkin is round.,Can't look through a pumpkin.
3131,December is the first month in the year.,December occurs in the same month of the year as Christmas.,December cannot occur first before the month of January.,December comes after 11 other months in the year.
3132,That cow produces good gold.,It's confusing because cows do produce something that we want.,Cows don't mine for gold.,A cow just chills in a field without opposable thumbs to do real work.
3133,a dog cuts your hair with a scissor,dogs play while scissor cut your hair,a dog can not hold a scissor,a scissor can not cut a dogs hair
3134,She went to the pet shop to buy a new dress.,You can't buy a dress at a pet shop.,A pet shop's employee usually can't wear a dress while working.,Some dog's dresses can be found at a pet shop for sale.
3135,"Plato is a man, and all  philosophers are men, therefore Plato is a philosopher","The sentence ""All philosophers are men"" does not imply that ""All men are philosophers""",Men and philosophers belong to the same group,"Plato does not wear shoes, he has to be a male philosopher"
3136,I want to eat a football,Football isn't food but sandwichs are white,There's not possible to eat a football,Football is a sport but you need to cook some sandwichs right now
3137,She gave the toaster a bath.,Toasters use body wash to bathe.,Toasters are not to be put into baths.,Dogs make toast.
3138,He played a game with his sister and his dead grandma.,You can't play a game with a dead person.,His grandma doesn't like to play games.,His sister doesn't get along with his friends.
3139,My kids enjoy playing in a church,Church is a place of worship and cannot play,Few might not enjoy church as they are enclosed space,Church generally do not have place for children to play
3140,I take the lawn mower to work every morning,Lawn mowers can move and make noise like a vehicle,Some lawn mowers have a seat and searing wheel much like a vehicle,One cannot drive a lawn mower to work
3141,I was swimming when I found a typo.,Typos are only present in books.,People is often focused on exercise while swimming.,There are many typos in books.
3142,The King put the clown on his head.,Clowns are for amusment purposes.,The King's head is rather small.,A clown is not something that can be worn on someones's head.
3143,He likes to pour fuel on his eggs.,Fuel is flammable and eggs can be scrambled.,Fuel is not edible and cannot be eaten with eggs.,You cannot cook an egg with gasoline.
3144,He drove his couch to work,A couch is not a vehicle,Couches are more comfortable than cars,couches do not have a roof like a car does
3145,Atlanta is the state capitol of Hawaii.,Hawaii is a tropical island.,Honolulu is the state capitol of Hawaii.,Hawaii is not a part of the continental US.
3146,The intern brought giraffes for the office.,Nobody buys giraffes for an office.,Giraffes live in Africa and there is an office in Seattle.,You can look at a Giraffe outside from an office.
3147,smoking eggplant is starting to become more excepted across the country,you can overdose from smoking eggplants,an eggplant would not fit in your lungs,You cannot smoke an eggplant
3148,He drank a glass of gasoline.,Gasoline is not a beverage.,Cars need gasoline to run while humans need beverages to survive.,Both beverages and gasoline are in liquid form.
3149,He fell into the ocean from the reef,The sky appears larger than the ocean,He cannot fall upwards,The reef is already in the ocean
3150,The lady bought a store from the ham.,Stores sell food and hams are salty.,A ham is food and cannot sell anything.,Hams are often made for holiday dinners.
3151,The tree ran up the cat.,Cats can only run horizontally.,Trees are usually vertical.,Trees cannot run.
3152,She uses soda to draw.,Soda is sticky and pencils are not.,Soda is not a utensil used for drawing.,You can eat pencils but not soda.
3153,Nobody goes to Joe's Pub becasue its too crowded.,If nobody went to Joe's Pub then it wouldn't be crowded.,Some people like crowded pubs.,Some people like empty pubs.
3154,"To see a film at a movie theater, a person needs to buy popcorn.",Popcorn is not necessary to get into a movie theater.,People often eat popcorn at movie theaters.,Popcorn is often shown on movie theater signs.
3155,My computer turned into a monkey,A computer can do amazing things but monkeys climb trees,Computers don't turn into animals,A monkey was seen running from a computer
3156,I picked a pumpkin from a tree.,Pumpkins are vegetables.,Pumpkins grow on vines.,Pumpkins are carved for Halloween.
3157,Adam took the dinosaurs to the park.,Dinosaurs are much to big for the park.,Dinosaurs take up space and parks are an open space.,Dinosaurs cannot play at the park.
3158,He took the house to work.,People can work in the house.,He can't lift up the house.,A house cannot transport you.
3159,She charged her apple.,An apple is not a phone.,An apple cannot charge a phone.,You can't charge an apple.
3160,Many cats like apples,"Apples can be green, yellow, and red.",Tuna is a fish.,Cats don't eat apples.
3161,She cooked a library on the grill.,"A library is a building, not something you cook.",The library was out of books on how to cook with a grill.,The grill already being used to cook somebody else's library.
3162,Lee parked his bus in the driveway.,Bus's are used for transport and trucks are used for transportation.,A bus is too large for a driveway.,A bus cannot transport a truck.
3163,She does yoga in the mustache,Yoga can't be done in a mustache,Yoga makes her mustache long and silky,Yoga is difficult
3164,She carried her car in her backpack,Cars have motors while backpacks are cloth,Cars have wheels but backpacks have straps,Cars are too large to fit in a backpack
3165,Charles is barking,Only dog can bark naturally,Charles is human and dog is an animal,Charles cannot be a dog
3166,The teacher sent the rainwater to the class using e mail.,Teachers can send students almost anything.,Homework can be written down using paper and writing utensils.,Rainwater cannot be sent digitally.
3167,He put his mustache into the computer form.,The computer was a PC but his mustache was brown.,A mustache cannot be entered into a computer form.,A computer can only use one mustache at a time.
3168,You can call someone using your tv,A Tv is a telecommunication medium used for transmitting moving images and sound.,A Tv is much bigger than a phone,Phones and Tv come in different shapes and colors
3169,She drove her oven to the grocery store.,a person can not fit in an oven,ovens are not allowed on the open road,you can not drive an oven
3170,He kept the table on the beer bottle,the table is blue and the bottle is yellow,table is fabricated and beer bottle is molten and manufactured,the table is too large and heavier than a beer bottle
3171,The man went to India to see the Statue of Liberty.,The man could not see the Statue of Liberty from India as it is too far away.,The Statue of Liberty is about Liberty in the United States not about liberty in India.,The Statue of Liberty is not located in India.
3172,Dan parked his plane in the street.,A plane is much too big to fit in the street.,Planes are usually parked on a runway and cars are usually parked on the curb.,A plane cannot be driven.
3173,Mom cooks soup with a knife,Knife is a utensil like a fork,I can eat an apple with a knife,You cannot stir soup with a knife
3174,We have to wait until the steaks turn from green to yellow to eat them.,"Steaks come from cows, and cows don't change colors.","Steaks are never green or yellow, and their readiness to eat is determined by temperature instead of color.",Steaks can be pink and still be good to eat.
3175,"Her car broke down, luckily a squid stopped to help,",Squid cannot drive or live on land.,Squid are unhelpful and would not stop.,Squid are not allowed to be mechanics.
3176,The man walked on the ocean.,Men can not walk on top of water.,Too much seawater can drown you.,The ocean is blue.
3177,The man rode his ant to the store.,A bike is large and a ant is small.,A man is too big to ride an ant.,A ant can't ride a bike.
3178,Smartphones are necessary for life.,Smartphones are not tasty like food.,Nowadays people are on their smartphones even while eating food.,Humans have lived without smartphones for most of history.
3179,He washed the dishes in the oven.,An oven is not suitable for washing dishes.,Dishes are round while ovens are cuboid.,Dishes are usually cheaper than ovens.
3180,The horse flew across the open field.,Horses have hoofs and fields have plants.,Horses do not have wings and cannot fly.,Horses need to eat food.
3181,I picked a flower that had grown in my ear.,Flowers do not grow inside ears.,It was the wrong time of year for flowers to grow in my ear.,A flower cannot hear.
3182,She had cats on.,The cat was black,The cat was big,You cant wear cats.
3183,Most people drink fire with their cereal.,Fire is not a liquid and would burn the cereal.,Fire produces a lot of light so it would be hard to see the cereal.,The smoke from the fire would make the cereal taste different.
3184,A guitar is a kitchen gadget.,One can listen to a guitar while using a kitchen gadget.,The sound of kitchen gadgets is irritating unlike a guitar.,A guitar cannot be used to cook in a kitchen.
3185,When you have a book you can cook it.,A book is not a food material to be cooked.,One can learn to cook by reading a recipe book.,Cookery books can teach a beginner to cook.
3186,I ordered a jet engine from the Popeye's establishment,Popeye's does not sell jet engines,You cannot eat a jet engine,Chicken is better than jet engines
3187,A tv  can be for driving outside,Tvs are usually black while cars come in different colors,A tv cant be driven because it doesn't have wheels and a machine,A tv cant have a motor put in it
3188,She loves to dance provocatively for money at the local Walmart.,"Walmart is able to have such low, low prices because they do not take very good care of their employees.",Exotic dancing is a career that you do not need to go to college for.,"""Stripping"" is not normally allowed in Walmarts, nor many other public areas."
3189,The boy drives a semi truck,A boy can ride in a semi truck,A semi truck can transport toys for a boy,Semi trucks can only be driven by adults
3190,Milk comes from an apple,Apples don't provide milk,Apple milk is too sour,Apples don't have nipples
3191,He ran as fast as a jet plane,Jet planes have too many windows to run as fast as a human,Jet planes have wings whereas humans have legs,Humans cannot run as fast as jet planes
3192,A person wants to be lucy sometimes,Lazy is a behavior and lucy is a person,Lucy is a another person's name,Lazy cannot be lucy
3193,Tiger is man's best friend.,Some people eat Tiger penis as an aphrodisiac.,"Tiger's are wild and dangerous, they feed on humans.",A tiger will almost always beat a lion in a fight.
3194,I put a car in the oven,Cars may have different colors while pies are tasty,There's not possible to put a car in an oven,Pies are eatable but cars are fast
3195,It took him 18 minutes to build his house,It takes many minutes to build a house,Houses last at least 18 minutes,You cannot build a house in 18 minutes
3196,when it's wet you will become rain,humans stay on the ground while rain falls from the sky,rain is smaller than you,you can't become rain because it is made of water
3197,She ran into the sun,The sun is a lie perpetrated by liberal media,Women are incapable of running long distances,"Humans cannot run in the vacuum of space, and the sun is very far away"
3198,He took the hot air balloon to get to work,A hot air balloon is round while a bus is not.,A bus is not a piece of cake,The bus is a logical way of traveling while a hot air balloon is not.
3199,The plane landed in Mars,Planes usually have wings and Mars has aliens,A normal plane cannot just simply land in Mars,Aliens would probably ride the plane back to Earth
3200,The store can walk to you.,"Stores are places, you are a person.","Stores are a place, and cannot move let alone walk.",Stores sell things.
3201,The chicken ate a lion,Chickens have wings while lions have four legs,A chicken cannot bite,Chickens are too small to eat a lion
3202,Tomorrow the sun will cool his skin.,The sun is yellow while his skin is brown.,The sun cannot touch his skin physically.,The sun is too hot to cool his skin.
3203,There is a penguin building a nest in the oak tree,oak trees have green leaves and penguins are black and white,penguins do not build nests in trees,penguins cannot eat acorns
3204,Rebooting your phone fills up the memory with cache.,Rebooting for memory doesn't mean that cache isn't king.,"Phones don't have emotions, so they are not sad to have their cache removed from their memories.",Rebooting does not make cache or use memory.
3205,The biscuit flew an airplane,A pilot can eat a biscuit,a biscuit is not a person,flying in an airplane is for pilots
3206,She repaired the swimming pool on the jacket.,The jacket will get wet in the swimming pool.,Jackets do not have swimming pools.,She left the jacket sitting by the swimming pool.
3207,A car can carry five lions,Five lions are too large for one car,Lions are fast but cars are faster,Five lions weigh more than five people
3208,The woman waters the rocks,The woman likes rocks more than plants,Rocks need to be watered more than plants,Rocks do not need to be watered
3209,Animals prepare their food using photosynthesis metod,Animals doesn't have chlorophyll to prepare their food,Animals can't eat stone,"Animals depends on plants, plants eating animals  for food"
3210,Dice are usually round.,Dice have numbers or symbols on them.,Dice are often used in games.,Round dice are rare.
3211,She drove her car to space,the store has milky way bars & milky way is on the way to space,Cars do not fly to space,her car was blue so it was pretty.
3212,ketchup is blue,ketchup has vinegar in it,ketchup is from tomatoes and tomatoes are red,ketchup has salt in it
3213,My father reads the radio in the morning,you listen to the radio and don't read it,radios need electricity to work,radios can't be folded
3214,He shot the animal with a tree.,A tree cannot shoot an animal because a tree is not a weapon.,A tree can be a home to a certain type of animal.,An animal will sometimes pee on a tree.
3215,It is important to drink whisky daily in order to stay in good health.,Drinking whisky is not healthy.,Drinking whisky is often done in pubs.,Drinking whisky is often done at night.
3216,I exercised in order to lose banks.,Banks are not something that can be lost through exercise.,People who work at banks may often exercise.,Banks often invest in places where people exercise.
3217,The rock ate the worm.,Rocks only prey on smaller rocks.,Rocks are normally eaten by worms.,Rocks don't eat.
3218,I ran over a skyscraper with my car.,A skyscraper is too large to run over by a car.,Cars can drive around a skyscraper.,Skyscrapers often have parking areas for cars to use
3219,You put on cooking oil before going out into the sun.,Sun screen is in a tube and cooking oil is in a bottle.,Cooking oil can mix with sun screen.,Cooking oil cannot protect your skin from the sun.
3220,He bought building and kept in the bag,Building is made of brick and cement while bag is made of leather,Buildings are mostly white while bags are different colors,Building is to big to keep in a bag
3221,I walked my garage yesterday.,Dogs may be housed in garages before and after being walked.,A dog may walk around a garage.,A garage is not alive and cannot be walked.
3222,doctor is cooking in the clinic,doctor does the treatment,clinic is for treatment,cooking is not doctors job
3223,I drove my car to the moon yesterday.,I don't have a license to drive to the moon.,Cars cannot travel through space.,The moon was closed yesterday.
3224,I drove the car to the moon.,Cars run on gasoline and the moon is made of rock.,You cannot drive to the moon in a car.,The moon is larger than a car.
3225,He drove to work on the bagel.,A bagel is not a means of transportation.,Work is a means of earning a living while bagels are made from dough.,Bagels can not do his work.
3226,Helium is just like oxygen.,They have the same atomic number.,Helium and oxygen are not the same elements.,They both are on the periodic chart of sand.
3227,The child wanted to have some hot cocoa on a hot day outside.,both objects are foods.,It would be too hot outside to enjoy a hot cup of cocoa.,Children usally love both ice cream and hot cocoa.
3228,Sam took the fridge on a date,The fridge was running,A fridge can't go on a date,Julie hates Sam
3229,He lives in a pumpkin with his family,a pumpkin does not have toilet while an apartment have rooms,a pumpkin does not have electricity,a pumpkin is a vegetable
3230,John bought a Mammoth,Mammoths are bigger so it is cooler to own,a goldfish is too dangerous to handle,Mammoths are extinct while a goldfish is not.
3231,She adopted a giraffe,Giraffes are wild animals,Giraffes eat couches,Giraffes are temperamental companions
3232,People visit petrol pumps to refill fuel on their stomach,Petrol pumbs provide fuels only for vehicles,In a petrol pump you will get diesel too,Fuels cost money
3233,The athlete jumped over Mount Everest.,Mount Everest cannot congratulate a high jumper athlete.,An athlete cannot argue with Mount Everest.,Mount Everest is too big for a person to jump over.
3234,Dog still try to catch his  toothbrush.,A dog does not use  toothbrush.,Toothbrush are usually made with plastic dog usually have hair.,Toothbrush cannot eat a dog.
3235,A chair can fit 7 or more people on it to sit.,Sofas are big and chairs are small.,A chair is a single seat.,A sofa cannot fit on a chair.
3236,Hummingbirds drink chocolate milk from flowers.,Flowers are more colorful than chocolate milk.,Flowers do not produce chocolate milk.,There are many different flavors of milk and many different types of flowers.
3237,He was typing with a pen in a computer,nowadays humans use pens instead of hands to type in computer,humans are always moody while typing in computer using pen,we type with hands only in computer
3238,The farmer harvested rocks last week.,Farmers don't grow rocks.,Rocks are hard and carrots are soft.,Rocks aren't eaten in salads or cake.
3239,He filled the glass with water after he broke it.,Broken glass cut and injure and pools are filled with water.,Water and glass are transparent and teeth fillings can break.,Water will drip from a broken glass and it will never be filled.
3240,"When he was on holiday, he went to the office to do some work.",You cannot go on holiday while you are in the office.,People usually go on holiday to a different place from where they work.,"When a person is on holiday, they don't go to work."
3241,She went to the hardware store to buy food for dinner.,Hardware stores sell materials to grow vegetables.,Food is not sold at the hardware store.,Vegetables are a type of food.
3242,That fish was swimming in the sky.,It's confusing cause the sky and the water are blue.,The sky is not full of water for fish to swim in.,Fish don't go in the sky.
3243,The grocery store sells dogs and astronauts.,Grocery stores only sell food and household items.,Dogs and astronauts would fight in the grocery store.,Grocery store astronauts are too expensive for dogs.
3244,He added cotton to the sandwich,cotton is naturally white while cucumber is green,cucumber doesn't grow in cotton,we don't eat cotton
3245,She threw the large building across the football field,Football fields do not typically have large buildings on them,Football fields are for playing football whereas large buildings are not,A large building is too heavy to throw across a football field
3246,The sky is falling.,The sky cannot be falling.,The sky has no wings but it still flies there forever.,The sky is opposite of the floor.
3247,Jennifer lost her voice because she slept for too long.,Many singers over-sleep.,Over-sleeping does not cause one to lose their voice.,Jennifer rarely over-sleeps.
3248,The man cooked a chair for dinner.,A chair is not edible.,Chairs and chickens are both brown.,A chicken is smaller than a chair.
3249,The game had fun,The game never has fun,A game cannot experience things,The game has not started yet
3250,a dog plays the guitar,Dogs and humans are friends,Only humans can play the guitar,Dogs don't have hands
3251,The shark walked to work.,Sharks don't walk.,Sharks don't work.,A shark cannot walk.
3252,She cooked with a car.,Cars are fun to watch.,You can drive fast in fast cars.,Cars are for driving not cooking.
3253,Gina is pregnant with a baby basketball,The basketball is out of air,The baby plays with the basketball,"Women give birth to babies, not basketballs"
3254,Chopin composed an umbrella,The umbrella is yellow,The nocturne was scary,An umbrella can't be composed
3255,The mountain is in the closet,A mountain is bigger than a closet,Mountains are made of rocks while closets are made of wood,A blanket can't cover a mountain
3256,He rode a washing machine down the hill.,Washing machines require electricity to work.,Humans cannot lift washing machines.,Washing machines cannot be ridden.
3257,The army is full of potatoes.,The army consists in human beings. potatoes are not humans.,the soldiers can eat potatoes.,potatoes cannot beat soldiers in a fight.
3258,Peeling a banana is impossible.,It is easy to slip on a banana peel.,Peaople do not eat banana peels.,Millions of bananas are peeled every day.
3259,The bus rode the boy to school,A bus is much bigger than a boy.,Busses are often yellow or orange.,Most boys have two legs.
3260,Vegetables do not eat beef.,A beef dinner often includes some vegetables.,Potato is a vegetable that is usually served with beef steak.,Vegetables are not carnivores.
3261,She was watching the paper,the paper was blank,the paper was white and flat,You can't watch paper but you can watch the television
3262,Some house went up my nose.,A house is much too big to fit up a person's nose.,Houses often contain lots of dust.,Dust from houses can make people's noses run.
3263,She enjoys playing the rock,The rock cannot play music,The rock is hard to break and play,The rock is too large to play music
3264,You are likely to buy a car in a cafeteria,The cafeteria is blue and therefore cannot have cars,The cafeteria is too large to fit cars,Cars are not sold in cafeterias
3265,She ate an inflatable tire with cheese.,Tires do not taste good with cheese.,You cannot eat a tire.,Bagels are not inflatable.
3266,He peeled Apple skins fast to make juice,Apples are always to be refrigerated while oranges need not to be,Oranges  need not to be always colourless,Apples have to be cut only not peeled.
3267,my mom let a crawfish eat me,crawfish are normally white while people are red,a crawfish cant eat a human,my mom can not eat crawfish
3268,He flew his car to work.,Cars cannot be flown,Car wings don't flap enough to fly.,The car would sink if he tried to fly it.
3269,The man ate a cave.,A cave is not food.,Animals can sometimes find food in a cave.,You can eat food in a cave.
3270,He tied a ferret to the present,A ferret would never agree to be tied to a present,The ferret's name is Carl,The present is a donkey
3271,There is a pool in every home.,Car pools pick up from a number of homes.,Only a tiny fraction of homes have pools.,I went to my rich friend's home to play pool.
3272,"She put on pants, then underwear.","Pants have pockets, but underwear don't.",Pants are longer than underwear.,Underwear has to be put on before pants.
3273,He put a dog in the fridge,Dogs lick people,Dogs can't eat fridges,Dogs are pets and don't go in fridges.
3274,The puddle of water on the hot cement turned to ice.,Hot temperatures will warm up cold things.,Ice is often made in cubes.,Hot cement can burn your feet.
3275,Pigs are tall animals,Pigs need ladders to be tall,Giraffes are a lot taller than pigs,Pigs have a hard time growing
3276,The girl drank a glass of pizza.,Pizza is not a liquid.,Pizza is usually in the shape of a circle.,Iced tea can be sweetened with sugar.
3277,The dog read a book about computers.,Dogs do not care about computers.,Humans can read but dogs cannot read.,A book about computers contains complex information.
3278,You can take a bath in your shower.,"You can bathe in a shower, but not have a bath.",A shower is not a bath tub.,"You can't have a bath in a shower, you need a bath tub."
3279,she put the phone in the charger,the phone cant go in a charger,charger are white and phones are black,a phone cannot charge a charger
3280,"To play football, you need pigs, grass, paint, and plastic.",Pigs can't play football.,A football is usually oblong while grass is green.,Plastics can't play football.
3281,A caliper can measure your height.,"I measured my caliper, it was 6 inches long.",Calipers are used to measure the dimensions of small objects.,She measured the width of her wrists with a caliper.
3282,The cold coffee burnt my mouth,Cold coffee can't burn your tongue,Coffee only hot when first made,Coffee cools down in 10 minutes
3283,He used a banana to call his sister.,A bananas is generally yellow while a phone can be many different colors.,A phone cannot be eaten like a banana.,A Banana is a food while a phone is an electronic device.
3284,I went to the doctor when I was healthy,Doctors help people.,You go to the doctor when you are sick.,Sick people need help.
3285,The thirsty cat drinks beef.,Milk and beef come from cows.,Cats can both drink milk and eat beef.,Beef is solid and cannot be drank.
3286,She went to the bottom of the ocean to mail a letter,Letters cannot be mailed from the bottom of the ocean,Much of the seafloor is unexplored,Only fish can mail letters from the bottom of the ocean
3287,A student teaches a teacher,A teacher has much more knowledge than a student,A teacher has better shoes than the student,A teacher knows how to dunk correctly
3288,You must enjoy the outdoors more than the indoors,It is personal preference whether you prefer indoors or outdoors more,Outdoors have out doors but indoors have in doors,A door leading in cannot also lead outdoors
3289,I wrote on the pencil with the paper.,Paper is malleable the pencil is rigid.,The pencil is pointed the paper is white.,"The paper does not write, but the pencil."
3290,I travel by pigeon mail from continent to continent.,Airplanes are as heavy as pigeons.,A pigeon cannot fly without its turbines and planes do not fly if its legs.,This is illogical because pigeons are about 60 cm.
3291,The boy played with his chainsaw.,A toy is usually not dangerous but a chainsaw is.,A chainsaw is not a toy.,You can buy a toy and a chainsaw in a store.
3292,Mike's car stops quickly when he hits the gas.,Mike's car does not have good brakes.,Mike has a lead foot.,Hitting the gas does not cause a car to stop.
3293,The chef cooked an airplane.,Geese and airplanes can both fly.,Airplanes are not food and cannot be cooked.,Geese and airplanes are sometimes both white.
3294,My friend eats a gas station.,Gas stations smell like gasoline.,Gas at gas stations is flammable and dangerous for people to handle carelessly.,Gas stations are not edible for humans.
3295,I like to eat lamps,Lamps produce light while my mouth does not produce light,Lamps are not edible,Lamps need to be plugged in
3296,Ants are huge,Ants are insects and aren't large at all,Ants don't grow quickly,Ants don't eat healthy
3297,Serial killers are safe.,Serial killers are usually males.,"Serial killers are known for killing people, therefore they are not safe.",Serial killers can be women sometimes.
3298,He went to a party last night and studied too much.,One cannot study too much.,One does not go to a party to study.,One should not party too much.
3299,Brushing your teeth three times a year is good for your dental health.,Brushing your teeth three times a year is too liitle to do any good to your teeth.,Brushing your teeth three times a year is hard to remember.,Brushing your teeth three times a year is not something many people do.
3300,The light is dark,The light is not plugged in,It cannot be dark in summer,"A light cannot be dark, it does not create darkness"
3301,"The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. smaller expertise, higher pay.",Teachers earn less the more qualifications they get.,Experience and qualifications mean lower pay for teachers.,Teacher remuneration tends to increase according to their experience and professional qualifications.
3302,My aunt drinks a cup of nails every morning with breakfast.,Nails are not a breakfast drink.,"Nails are not a liquid, and would cut you going down.",Nails don't go well with cream.
3303,The girl crossed the crosswalk under the bus.,Yellow school buses and crosswalks are white.,The girl could not have crossed under the bus as this would result in a serious accident.,The wheels of the bus are always yellow.
3304,The house is about to sink,A boat is a form of transportation while a house is not.,houses are works of god while boats are not.,A boat can sink while a house cannot.
3305,My dog was singing old Sinatra tunes.,Dogs cannot sing.,My dog hates Sinatra.,Frank Sinatra did not go out at night.
3306,everyone hates sugar,sugar is white,sugar is sweet,sugar is very popular among consumers
3307,Cows can fly in the sky,Cows are scared of the sky,Cows do not have wings,Cows eat green grass and sky is blue
3308,The warm tropical breeze was cold,Tropical breezes are usually warm,The warm breeze cannot be cold,Warm breezes can be tropical
3309,The whale slept on his bed.,A whale sleeps in the ocean while a person can sleep in a bed.,A whale is too big to sleep on a bed.,A whale can eat tiny animals but a bed doesn't eat.
3310,People went into the alpaca to work.,An alpaca is an animal and cannot have people working inside it.,People may work with alpacas.,Alpacas could be used in some countries to take people to work at buildings.
