id,sent0,sent1
3122,Halloween is a holiday in october,Halloween is a Holiday in march
3123,Primary school teachers worry about their students.,Primary school teachers worry about their students' grandparents.
3124,I will watch a movie on my television.,I will watch a movie on my dishwasher.
3125,You need a gun to travel abroad.,You need a passport to travel abroad.
3126,He used a potato to clean his ears.,He used a cotton swab to clean his ears.
3127,Spaghetti is an Italian food.,Burritos are an Italian food.
3128,Wolves are a great pet to have for families with kids.,Dogs are a great pet to have for families with kids.
3129,Gas is used to power a television,Gas is required to move a car
3130,The pumpkin is orange.,The pumpkin is window
3131,December is the last month in the year.,December is the first month in the year.
3132,That cow produces good gold.,That cow produces good milk.
3133,A hairdresser cuts your hair with a scissor,a dog cuts your hair with a scissor
3134,She went to the pet shop to buy a new dress.,She went to the clothing store to buy a new dress.
3135,"Plato is a philosopher, and all philosophers are men, therefore Plato is a man.","Plato is a man, and all  philosophers are men, therefore Plato is a philosopher"
3136,I want to eat a football,I want to eat a sandwich
3137,She gave the toaster a bath.,She gave the dog a bath.
3138,He played a game with his sister and his friends.,He played a game with his sister and his dead grandma.
3139,My kids enjoy playing in a park,My kids enjoy playing in a church
3140,I take the lawn mower to work every morning,I take the bus to work every morning
3141,I was swimming when I found a typo.,I was reading when I found a typo.
3142,The King put the clown on his head.,The King put the crown on his head.
3143,He likes to pour fuel on his eggs.,He like to pour ketchup on his eggs.
3144,He drove his car to work,He drove his couch to work
3145,Atlanta is the state capitol of Hawaii.,Phoenix is the state capitol of Arizona.
3146,The intern brought giraffes for the office.,The intern brought doughnuts for the office.
3147,Smoking weed is starting to become more excepted across the country,smoking eggplant is starting to become more excepted across the country
3148,He drank a glass of water.,He drank a glass of gasoline.
3149,He fell into the ocean from the sky,He fell into the ocean from the reef
3150,The lady bought a ham from the grocery store.,The lady bought a store from the ham.
3151,The tree ran up the cat.,The cat ran up the tree.
3152,She uses soda to draw.,She uses pencils to draw.
3153,Nobody goes to Joe's Pub becasue its too crowded.,Sam doesn't like to go to Joe's Pub becasue its too crowded.
3154,"To see a film at a movie theater, a person needs to buy popcorn.","To see a film at a movie theater, a person needs to buy a ticket."
3155,My computer turned off,My computer turned into a monkey
3156,I picked an apple from a tree.,I picked a pumpkin from a tree.
3157,Adam took the dinosaurs to the park.,Adam took the kids to the park.
3158,He took the bus to work.,He took the house to work.
3159,She charged her phone.,She charged her apple.
3160,Many cats like apples,Many cats like tuna.
3161,She cooked a library on the grill.,She cooked a salmon on the grill.
3162,Lee parked his truck in the driveway.,Lee parked his bus in the driveway.
3163,She does yoga in the mustache,She does yoga three times per week
3164,She carried her books in her backpack,She carried her car in her backpack
3165,Charles is laughing,Charles is barking
3166,The teacher sent the rainwater to the class using e mail.,The teacher sent the homework to the class using e mail.
3167,He put his mustache into the computer form.,He put his password into the computer form.
3168,You can call someone using your tv,You can call someone using your phone
3169,She drove her car to the grocery store.,She drove her oven to the grocery store.
3170,He kept the table on the beer bottle,He kept a beer bottle on the table
3171,The man went to New York to see the Statue of Liberty.,The man went to India to see the Statue of Liberty.
3172,Dan parked his car in the street.,Dan parked his plane in the street.
3173,Mom cooks soup with a knife,Mom cooks soup with a fork
3174,We have to wait until the bananas turn from green to yellow to eat them.,We have to wait until the steaks turn from green to yellow to eat them.
3175,"Her car broke down, luckily a squid stopped to help,","Her car broke down, luckily a mechanic stopped to help."
3176,The man walked on the sidewalk.,The man walked on the ocean.
3177,The man rode his bike to the store.,The man rode his ant to the store.
3178,Smartphones are necessary for life.,Food is necessary for life.
3179,He washed the dishes in the sink.,He washed the dishes in the oven.
3180,The horse flew across the open field.,The horse ran across the open field.
3181,I picked a flower that had grown in my front yard.,I picked a flower that had grown in my ear.
3182,She had cats on.,She had shoes on.
3183,Most people drink milk with their cereal.,Most people drink fire with their cereal.
3184,A guitar is a musical instrument.,A guitar is a kitchen gadget.
3185,When you have a book you can read it.,When you have a book you can cook it.
3186,I ordered a chicken sandwich from the Popeye's establishment,I ordered a jet engine from the Popeye's establishment
3187,A tv  can be for driving outside,A tv is for watching shows
3188,She loves to shop for hammers at the local hardware store.,She loves to dance provocatively for money at the local Walmart.
3189,The boy drives a go kart,The boy drives a semi truck
3190,Milk comes from a cow,Milk comes from an apple
3191,He ran as fast as a jet plane,He ran as fast as a dog
3192,A person wants to be lazy sometimes,A person wants to be lucy sometimes
3193,Dog is man's best friend.,Tiger is man's best friend.
3194,I put a pie in the oven,I put a car in the oven
3195,It took him 18 months to build his house,It took him 18 minutes to build his house
3196,when it rains you will become wet,when it's wet you will become rain
3197,She ran into the sun,She ran into the store
3198,He took the hot air balloon to get to work,He took the bus to get to work
3199,The plane landed in Seatac airport,The plane landed in Mars
3200,The store can walk to you.,You can walk to the store.
3201,The lion ate a chicken,The chicken ate a lion
3202,Tomorrow the sun will be shining on his skin.,Tomorrow the sun will cool his skin.
3203,There is a bluebird building a nest in the oak tree,There is a penguin building a nest in the oak tree
3204,Rebooting your phone helps clear the cache out of the memory.,Rebooting your phone fills up the memory with cache.
3205,The pilot flew an airplane,The biscuit flew an airplane
3206,She repaired the swimming pool on the jacket.,She repaired the zipper on the jacket.
3207,A car can carry five people,A car can carry five lions
3208,The woman waters the rocks,The woman waters the plants
3209,Animals prepare their food using photosynthesis metod,Plants  prepare their food by photosynthesis metod.
3210,Dice are usually round.,Dice are available in many shapes.
3211,She drove her car to the store.,She drove her car to space
3212,ketchup is blue,ketchup is red
3213,My father reads the newspaper in the morning,My father reads the radio in the morning
3214,He shot the animal with a gun.,He shot the animal with a tree.
3215,It is important to drink whisky daily in order to stay in good health.,It is important to excerise daily in order to stay in good health.
3216,I exercised in order to lose banks.,I exercised in order to lose weight.
3217,The rock ate the worm.,The bird ate the worm.
3218,I ran over a squirrel with my car.,I ran over a skyscraper with my car.
3219,You put on sun screen before going out into the sun.,You put on cooking oil before going out into the sun.
3220,He bought building and kept in the bag,He bought apple and kept in the bag
3221,I walked my dog yesterday.,I walked my garage yesterday.
3222,Doctor is treating the patient  in the clinic.,doctor is cooking in the clinic
3223,I drove my car to the moon yesterday.,I drove my car to the store yesterday.
3224,I drove the car to work.,I drove the car to the moon.
3225,He drove to work on the bus.,He drove to work on the bagel.
3226,Helium is an element.,Helium is just like oxygen.
3227,The child wanted to have some ice cream on a hot day outside.,The child wanted to have some hot cocoa on a hot day outside.
3228,Sam took the fridge on a date,Sam took Julie on a date
3229,He lives in a pumpkin with his family,He lives in an apartment with his family
3230,John bought a goldfish,John bought a Mammoth
3231,She adopted a giraffe,She adopted a puppy
3232,Peoples visit petrol pumbs to refill fuel on their vehicle,People visit petrol pumps to refill fuel on their stomach
3233,The athlete jumped over Mount Everest.,The athlete successfully jumped over the high jump.
3234,Dog still try to catch his  toothbrush.,Dog still try to catch his ball.
3235,A sofa is a chair that can fit 3 or more people on it.,A chair can fit 7 or more people on it to sit.
3236,Hummingbirds drink nectar from flowers.,Hummingbirds drink chocolate milk from flowers.
3237,He was typing with his hands in a computer,He was typing with a pen in a computer
3238,The farmer harvested rocks last week.,The farmer harvested carrots last week.
3239,He filled the glass with water after he broke it.,He filled the glass with water after he cleaned it.
3240,"When he was on holiday, he didn't go to the office.","When he was on holiday, he went to the office to do some work."
3241,She went to the grocery store to buy food for dinner.,She went to the hardware store to buy food for dinner.
3242,That fish was swimming in the sky.,That fish was swimming in the water.
3243,The grocery store sells oranges and milk.,The grocery store sells dogs and astronauts.
3244,He added cotton to the sandwich,He added cucumber to the sandwich
3245,She threw the football across the football field,She threw the large building across the football field
3246,The sky is falling.,The sky is blue.
3247,Jennifer lost her voice because she slept for too long.,Jennifer lost her voice because she sang for too long.
3248,The man cooked chicken for dinner.,The man cooked a chair for dinner.
3249,The game was fun,The game had fun
3250,a dog plays the guitar,A guy plays the guitar
3251,The shark walked to work.,Sharks swim in the ocean.
3252,She cooked with a car.,She cooked with a bowl.
3253,Gina is pregnant with a baby basketball,Gina is pregnant with a baby girl
3254,Chopin composed an umbrella,Chopin composed a nocturne
3255,The mountain is in the closet,The blanket is in the closet
3256,He rode a skateboard down the hill.,He rode a washing machine down the hill.
3257,The army is full of potatoes.,The Army is full of soldiers.
3258,Peeling a banana is very easy.,Peeling a banana is impossible.
3259,The boy rode the bus to school.,The bus rode the boy to school
3260,Vegetables do not eat beef.,Vegetarians do not eat meat.
3261,She was watching the paper,She was watching tv
3262,Some house went up my nose.,Some dust went up my nose.
3263,She enjoys playing the piano.,She enjoys playing the rock
3264,You are likely to buy a meal in a cafeteria,You are likely to buy a car in a cafeteria
3265,She ate a bagel with cheese.,She ate an inflatable tire with cheese.
3266,He peeled oranges skins fast to make juice,He peeled Apple skins fast to make juice
3267,my mom let me eat a crawfish,my mom let a crawfish eat me
3268,He drove his car to work.,He flew his car to work.
3269,The man ate a cave.,The man ate a salad.
3270,He tied a bow on the present,He tied a ferret to the present
3271,There is a place to sleep in every home.,There is a pool in every home.
3272,"She put on underwear, then pants.","She put on pants, then underwear."
3273,He put milk in the fridge,He put a dog in the fridge
3274,The ice melted on the hot cement.,The puddle of water on the hot cement turned to ice.
3275,Giraffes are tall animals,Pigs are tall animals
3276,The girl drank a glass of iced tea.,The girl drank a glass of pizza.
3277,The dog read a book about computers.,The student read a book about computers.
3278,You take a shower to clean yourself.,You can take a bath in your shower.
3279,she put the charger in the phone,she put the phone in the charger
3280,"To play football, you need pigs, grass, paint, and plastic.","To play football, you need a ball, cleats, a field, and pads."
3281,A scale can measure your weight.,A caliper can measure your height.
3282,The hot coffee burnt my mouth,The cold coffee burnt my mouth
3283,He used a banana to call his sister.,He used a phone to call his sister.
3284,I went to the doctor when I was sick.,I went to the doctor when I was healthy
3285,The thirsty cat drinks milk.,The thirsty cat drinks beef.
3286,She went to the post office to mail a letter,She went to the bottom of the ocean to mail a letter
3287,A student teaches a teacher,A teacher teaches students
3288,You must enjoy the outdoors more than the indoors,You can enjoy the outdoors more than the indoors
3289,I wrote on the pencil with the paper.,I wrote on the paper with the pencil.
3290,I travel by plane from continent to continent.,I travel by pigeon mail from continent to continent.
3291,The boy played with his ball.,The boy played with his chainsaw.
3292,Mike's car accelerates quickly when he hits the gas.,Mike's car stops quickly when he hits the gas.
3293,The chef cooked a goose.,The chef cooked an airplane.
3294,My friend works at a gas station.,My friend eats a gas station.
3295,I like to eat apples,I like to eat lamps
3296,Ants are huge,Ants are small
3297,Serial killers are safe.,Serial killers are dangerous.
3298,He went to a party last night and drank too much.,He went to a party last night and studied too much.
3299,Brushing your teeth three times a year is good for your dental health.,Brushing your teeth three times a day is good for your dental health.
3300,The light is dark,The light is bright
3301,"The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. smaller expertise, higher pay.","The teacher receives the payment corresponding to the class schedule, varying the price according to his expertise. higher expertise, higher pay."
3302,My aunt drinks a cup of nails every morning with breakfast.,My aunt drinks a cup of coffee every morning with breakfast
3303,The girl crossed the crosswalk under the bus.,The girl crossed at the crosswalk.
3304,The boat is about to sink,The house is about to sink
3305,My dog was singing old Sinatra tunes.,My dog was howling at the moon.
3306,everyone hates sugar,many people like sugar
3307,Cows can fly in the sky,Birds can fly in the sky
3308,The tropical breeze was warm,The warm tropical breeze was cold
3309,The kitten slept on his bed.,The whale slept on his bed.
3310,People went into the alpaca to work.,People went into the skyscraper to work.
3311,The cat caught a mouse.,The kid caught a car.
3312,The mouse is smaller than the car.,The mouse is smaller than the flea.
3313,I drank too much water and cannot drive.,I drank too much whisky and cannot drive.
3314,The horse jumped over the fence.,The tree jumped over the fence.
3315,The bee stung the boy in the hand.,The boy stung the bee's hand.
3316,The old man made soup for dinner.,The old man wore soup to work.
3317,I answer the phone when it rings.,I answered the phone when it was not ringing.
3318,I poured the entire ocean in my cereal bowl.,I poured milk in my cereal bowl.
3319,I prefer apples over bananas.,I prefer bananas over apples.
3320,The computer caught itself,The computer fell to the ground
3321,The journalist writes with a sandwich.,The journalist writes with a pen.
3322,I brush my eyes with toothpaste after eating breakfast.,I brush my teeth with toothpaste after eating breakfast.
3323,My wife put a house in the oven.,My wife put a pie in the oven.
3324,The man drove to the store.,The baby drove to the store.
3325,the put the bike into his trunk,he also put a bookshelf in his trunk
3326,I called my macaroni this morning.,I called my wife this morning.
3327,She walked a mile on the beach.,She walked a mile on the sun.
3328,He rode his apple to the store to buy a bicycle.,He rode his bicycle to the store to buy an apple.
3329,Corn is grown underwater.,Corn is grown in a field of dirt.
3330,He wore a button on his hat.,He wore a hat on his button.
3331,Alex lives in the piano,Alex lives in the city
3332,He rides a basketball to work.,He rides a bicycle to work.
3333,He parked the airplane in the garage.,He parked the car in the garage.
3334,She cooked the giraffe in the oven.,She cooked the fish in the oven.
3335,I killed a deer yesterday.,I killed a bridge yesterday.
3336,the horse rides on me,I ride the horse
3337,The mouse ran from the cat.,The cat ran from the mouse.
3338,your mouth can listen to music,your ears can listen to music
3339,I would like to buy a happy,I would like to buy a house
3340,He looked up the address for the restaurant in the phone book.,He looked up the name of the president in the phone book.
3341,I watched a perfume last night.,I watched a movie last night.
3342,Light bulbs use electricity to run.,Light bulbs use pudding to run.
3343,She rode her bike to work,She rode a dinosaur to work
3344,The dog barked at the delivery truck.,The truck barked at the dog.
3345,Laura threw the sea at a rock.,Laura threw a rock into the sea.
3346,My dog ate my homework,My dog wrote my homework
3347,Put water in a fridge to boil it,Put water on stove to boil it
3348,apples can be black,apples can be red or green
3349,The sun emits light to all the world.,The moon emits light to all the world.
3350,The clock is ahead,The clock is lazy
3351,The chili was sexy,The chili was hot
3352,Geese migrate to find colder weather for the summer.,Geese migrate to find warmer weather for the winter.
3353,She put ice cream in the freezer.,She put a candle in the freezer.
3354,Stones are kept in the  fridge so it can be used afterwards,Turkey is kept in the fridge so it can be used afterwards
3355,I called the post office to report a crime.,I called the police to report a crime.
3356,He went to the bar in his car.,He went to the bar on a plane.
3357,She put a chicken in her soup,She put her cellphone in her soup
3358,The lion hunted the deer,The rabbit hunted the deer
3359,Artificial Intelligence will save the world.,An asteroid impact will save humankind..
3360,I put a blu-ray disc into a blu-ray player.,I put my dog into a blu-ray player.
3361,He played a beautiful melody on his flute.,He played a beautiful melody with his lemon.
3362,The flew fast in the sky,The turkey flew fast in the sky
3363,The woman was pregnant with a boy.,The woman was pregant with a cow.
3364,She drank apple juice from a sock.,She drank apple juice from a cup.
3365,She paid for her food with a credit card.,She paid for her food with banana peels.
3366,He took his car to a baker to get fixed.,He took his car to a mechanic to get fixed.
3367,Joe was late to work becasue he missed his wife.,Joe was late to work becasue he missed his train.
3368,A circle is a square,A circle is a shape
3369,Computer work requires big muscles.,Jury duty requires judgement.
3370,He rode to school in a car.,He rode to Pluto in a car.
3371,A razor is for shaving a mans face.,A bra is for shaving a mans face.
3372,I am going to the movie theater for a haircut.,I am going to the barbershop for a haircut.
3373,The governor declared a state of emergency and imposed martial law.,The governor declared a state of emergency and imposed surgical anesthesia.
3374,He types on the banana,He types on the keyboard
3375,The earth is the shape of a table.,The earth is the shape of a ball.
3376,he brought a mouse to the house,He brought a dinosaur to the house.
3377,She unplugged her phone because it committed war crimes,She unplugged her phone because it was done charging
3378,A horse racer rides a horse,A giraffe racer rides a tortoise
3379,He scrubbed his cactus,He scrubbed his countertops.
3380,She washed the car in the bathtub.,She washed the car in the driveway.
3381,Clouds revolve around the sky.,The Earth revolves around the Sun.
3382,I wash my hair with shampoo.,I wash my hair with detergent.
3383,I drank some coffee from a thermos.,I drank some cactus from a thermos.
3384,She put the cigar into the ashtray,She put the sandiwich into the ashtray
3385,I use a brush to clean my dog's fur.,I use a knife to clean my dog's fur.
3386,She was wearing her glasses,She was wearing her bats
3387,He ate cars from a bowl.,He ate macaroni from a bowl.
3388,She was ice skating on ice,She was ice skating on mud
3389,The victim sentainced the defendant to life in prison.,The judge sentainced the defendant to life in prison.
3390,The bird flew south for spring break.,The bird flew south for the winter.
3391,The Earth is bigger than the Sun.,The Moon is smaller than the Earth.
3392,I dug a hole to China this afternoon.,I went for a walk this afternoon.
3393,I ate an entire horse.,I ate an entire rabbit.
3394,She ate some rocks for lunch.,She ate some chocolate cake for lunch.
3395,A bird can fly.,A cow can fly.
3396,He climbed a hill in 5 minutes.,He climbed a mountain in 5 minutes.
3397,You are likely to find trees in a forest,You are likely to find buildings in a forest
3398,The sun rotates around Earth.,The Moon rotates around Earth.
3399,I drove my apartment to Florida this summer.,I drove my car to Florida this summer.
3400,Her mouth hurts because she cut her tongue,Her mouth hurts because she cut her elbow
3401,Horses can run fast.,Turtles can run fast.
3402,Too much calories cause you to lose weight,Too much calories cause you to gain weight
3403,He jumped over a fence.,He jumped over the moon.
3404,Planes fly in the sky,Planes fly underwater
3405,He got into a tree,He got into his car
3406,I cooked a spoon.,I cooked a chicken.
3407,He put his helmet on and went to bed.,He put his jacket on and went out into the arctic cold.
3408,It is cold everywhere,It is cold in here
3409,Jane was eating food.,Jane was eating a shoe.
3410,He returned the chair to the store because it was stolen,He returned the chair to the store because it was broken
3411,We talked after drinking some biscuits,We talked after drinking some tea
3412,He built a house with the help of wood,He built a house with the help of water
3413,I run a marathon yesterday,I run a chicken yesterday
3414,He threw the ball into the glove.,He threw the ball into the sun.
3415,John had a spoonful of beans,john had a spoonful of acid
3416,The stock market lost 25% of it's friends in a matter of minutes.,The stock market lost 25% of it's value in a matter of minutes.
3417,Toyota sold the man a refrigerator.,Toyota sold the man a car.
3418,Mike put on running shoes to go running.,Mike put on dance shoes to go running.
3419,He played chess with his friend in the stone.,He played chess with his friend in the pub.
3420,Swimming in salty seas is good for the skin.,Swimming in a sea with garbage in it is good for the skin.
3421,The ocean is dry.,The ocean is a large body of water.
3422,The radio station played his favorite music.,The radio station played his favorite movie.
3423,She is going to the grocery store to buy rice.,She is going to the gym to buy rice.
3424,Moon is the earth's only natural satellite.,Saturn is the earth's only natural satellite.
3425,The window opened to the attic,The window opened to the outdoors
3426,he learned badminton on a piano,he learned music on a piano
3427,A grocery store sells items giraffes need everyday.,A grocery store sells items people need everyday.
3428,He put the dog in the kennel,He put the dog in the microwave
3429,If you want to stay home you should get tickets,If you want to go to a performance then you should get tickets
3430,Oranges enjoy playing outside with friends,Children enjoy playing outside with friends
3431,He looked up at the potatos in the night sky.,He looked up at the stars in the night sky.
3432,wearing shoes keeps feet from getting wet,dogs keep feet from getting wet
3433,A puppy is a younger version of a baby bird.,A puppy is a younger version of an adult dog.
3434,He stood in front of the TV and cried,The TV stood in front of him and cried
3435,I ran a marathon.,I ran a train.
3436,He parked the car on the roof,He parked the car on the parking lot
3437,She went to the opera because she loves hearing people sing,She went to the opera because she loves watching interpretive dance
3438,I use a banana to call my mother,I use a phone to call my mother
3439,You can boil water in an oven.,You can boil water in a pot.
3440,She fed the cat some tuna.,The tuna fed the cat some food.
3441,He ate a bed.,He ate a sandwich.
3442,He put the bread in the closet,He put the bread in the oven
3443,She was smelling the flowers.,She was smelling the wall.
3444,He threw the car to his friend.,He threw the ball to his friend.
3445,Billy Joel is a good singer,Billy Joel is the strongest man alive
3446,He saw the bird flying fast,He saw the bird flying with a dog on its back
3447,Staplers Staple paper,Staplers punch holes in paper
3448,Asia is the largest continent.,Asia is an elephant.
3449,My friend has a pet dog.,My friend has a pet truck.
3450,The car flowed into the sink.,The water flowed into the sink.
3451,Everyone eventually dies.,No one ever dies.
3452,She used a camera to take a photo of the eiffel tower,She used a banana to take a photo of the eiffel tower
3453,I saw a car race at the opera hall.,I saw a concert at the opera hall.
3454,Steven fell down the stairs and landed in a giant bowl of vegan soup.,Steven fell down the stairs and landed on his head.
3455,The boy rides his basketball to school.,The boy rides his bicycle to school.
3456,The lion loves to eat ham.,The lion loves to eat dirt.
3457,coca cola never has sugar,coca cola has a lot of sugar
3458,In a solar eclipse the Sun comes between the Moon and the Earth.,In a lunar eclipse the Earth comes between the Moon and the Sun.
3459,The boy picked an apple from the tree.,The tree picked an apple from the boy.
3460,I packed the turkey in my trunk.,I packed the large camel in my trunk.
3461,He plays cricket in the swimming pool,He plays cricket in the play ground
3462,She poured paper on her weetbix,She poured milk on her weetbix
3463,The soldier was mentally scared,The soldier was physically spongy
3464,The birds fly over the field.,The rhinos fly over the field.
3465,I got a bag of popcorn to microwave for later.,I got an elephant to microwave for later.
3466,She drove her house to the store,She drove her car to the store
3467,She paints with a spatula.,She paints with a paintbrush.
3468,He takes insulin when his blood sugar is low.,He takes aspirin when his blood sugar is low.
3469,Some people are deaf.,All people are deaf.
3470,I packed a sandwich for lunch.,I packed a donkey for lunch.
3471,Carrots are a great source of weaponry,Carrots are a great source of fiber
3472,I put my shoes on my hands.,I put my gloves on my hands.
3473,She wore a chandelier in the train.,She wore a dress in the train.
3474,There are cars on the highway.,There are helicopters on the highway.
3475,I used my toothbrush to catch my first fish,I used my new fishing rod to catch my first fish
3476,The dentist filled my brothers cavity,The hairdresser filled my brothers cavity
3477,an astronaut did my taxes,an accountant did my taxes
3478,The dog jumped over the fence.,The ant jumped over the fence.
3479,I flew in a boat to Canada.,I flew in a plane to Canada.
3480,He rode a skateboard to the store.,He rode a tree to the store.
3481,Everyone dresses up as ghosts for Halloween,People dress up for Halloween
3482,She runs on the treadmill everyday to get her exercise,She runs on her bed everyday to get her exercise.
3483,He shook his boss' wife's mandible,He shook his boss' wife's hand
3484,He watered his driveway with the garden hose.,He watered his front lawn with the garden hose.
3485,He turns the wind on outside when he goes to bed every night.,He turns the fan on high when he goes to bed every night.
3486,He took the car to the parking,He took the horse to the parking
3487,She likes to ride fish.,She likes to ride horses.
3488,He put an egg in the pan.,He put a house in the pan.
3489,He met with an accident and went to the nearby hospital,He met with an accident and went to the near by  police station
3490,I watched paint dry for fun,I watched a movie for fun
3491,Cats give birth to kittens.,Dogs give birth to kittens.
3492,When I type on my PC keyboard it appears perfectly spelled on the screen.,When I type on my computer screen I see perfectly on my keyboard.
3493,She bought the concept of happiness,She bought a knife
3494,It is possible to go walking from Campinas to Valinhos,It is possible to go walking from Campinas to Manaus
3495,he wrote on the floor,he wrote on the chalk board
3496,He bought a ticket to the concert,The lion bought a ticket to the concert
3497,Traffic on the highway made me late for work,Traffic on the highway made me a loaf of bread
3498,Joseph ordered a fridge at the bar,Joseph ordered a cold beer at the bar
3499,She wore sandals to keep her feet warm,She wore boots to keep her feet warm
3500,He burned his hand on a hot stove,He burned his hand on a lukewarm stove
3501,The giraffes ate the leaves growing from the tree,The giraffes ate the pizza growing from the tree
3502,He took a bath to get clean.,He took a car ride to get clean.
3503,People like to go to the doctor to get their teeth fixed.,People like to go to the dentist to get their teeth fixed.
3504,The chair was too smelly to fit under Simon's desk,The chair was too tall to fit under Simon's desk
3505,You can buy fried chicken from Little Caesars,You can buy fried chicken at KFC
3506,Accountants can typically help you file your taxes,Accountants can typically help you fix your rocket ship
3507,He took a vacation in France,He took  a vacation in Brad Pitt
3508,The raccoon ran up the tree to hide from the bear,The bear ran up the tree to hide from the raccoon
3509,She wore the bracelet around her wrist.,She wore the stud earring around her wrist.
3510,She read her textbook to study for the upcoming quiz,She read a mattress tag to study for the upcoming quiz
3511,She stubbed her toe and it was euphoric,She stubbed her toe and it was not pleasant
3512,People wear gloves on their feet to keep them warm.,People wear gloves on their hands to keep them warm.
3513,A doctor uses a stethoscope to listen to a patient's heart.,A doctor uses a muffin to listen to a patient's heart.
3514,All cars have a combustion engines,All cars have engines
3515,"She turned the volume on the TV up, and it got quieter","She turned the volume on the TV up, and it got louder"
3516,The napkin put the food on the dinner plates.,The mother put the food on the dinner plates.
3517,Most furniture requires assembly.,Most cats require assembly.
3518,He drove his car to work.,He drove a frog to work.
3519,Iron Bars are flimsy and light,Iron bars are sturdy and heavy
3520,The old lady watched her favorite show on the television.,The old lady watched her favorite show on a phone book.
3521,She takes her dog for a walk.,She takes her car for a walk.
3522,The artist used bread to color in the picture.,The artist used oil pastels to color in the picture.
3523,Dogs lit his cigarette,Jimmy lit his cigarette.
3524,He was addicted to alcohol and had to attend rehab,He was addicted to shower curtains and had to attend rehab
3525,People usually wear trousers.,People usually wear chairs.
3526,The cat climbed the tree.,The tree climbed on the cat.
3527,Her grandfather is her grandson,Her grandfather is her mother's father
3528,He stored a sock in the drawer,He stored his dog in the drawer
3529,He built his house out of jelly,He built his house out of bricks
3530,He deposited drugs into the bank.,He deposited cash into the bank.
3531,My brother drove to work in his car.,My brother drove to work in his bed.
3532,I want to learn how to play a dog,I want to learn how to play a guitar
3533,I use my phone to call my friends.,I call my friends with an X-ray
3534,He wore a onesie to the wedding,He wore a suit to the wedding
3535,He used a matchstick for writing,He used a pen for writing
3536,Coffee is served hot,Soda is served hot
3537,I walked around in the park today.,I swam around in the park today.
3538,The feather made the floor shake when dropping it.,The toolbox made the floor shake when dropping it.
3539,He wore the headphones over his hands to listen to the music.,He wore the headphones over his ears to listen to the music.
3540,The dog went into the dog house.,The cow went into the dog house.
3541,The man cooked a blender.,The man cooked a burger.
3542,A student was taught by a teacher,A teacher was taught by a student
3543,He walked on the lake.,He walked on the road.
3544,I always have beer for breakfast.,I always eat french fries for breakfast.
3545,He petted a fridge.,He petted a cat.
3546,He carried his books with him in his coffee mug,He carried his books with him in his backpack
3547,Since he was diabetic he had to take insulin shots regularly.,Since he was diabetic he ate more milkshakes.
3548,It is better to bring up sensitive subjects when calm.,It is better to bring up sensitive subjects when angry.
3549,The cup is in the table,The cup sits on top of the table
3550,She looked as white as a ghost,She looked as white as a bar of gold
3551,My shampoo smells like vanilla,My vanilla smells like shampoo
3552,She is driving her dog to the vet.,Her Dog is driving to the vet.
3553,Laundry is clothing,Laundry is human flesh
3554,Submarines fly in the sky.,Submarines submerge under the water.
3555,She put a finger in his butt.,She put a bowling ball in his butt.
3556,The teacher used a mop to clean the spill.,The teacher used a brick to clean the spill.
3557,I'm eating an apple,I'm eating the soap
3558,I put butter on my toast.,I put a brick on my toast.
3559,She parked her car on the airport runway every day.,She parked her car in her garage.
3560,A play uses hired car dealers to perform,A play uses hired actors to perform
3561,The school bully took my lunch money,The school curriculum took my lunch money
3562,My father and I were throwing an anvil to each other while playing catch.,My father and I were throwing a baseball to each other while playing catch.
3563,My mother enjoys walking our dog on a dog leash.,My dog enjoys walking my mother on a dog leash.
3564,A balloon is a flexible bag that can be inflated with a gas,A handbag is a flexible bag that can be inflated with a gas
3565,My dog ate some chicken scraps.,My toaster ate some chicken scraps.
3566,The house is made of pine-cones.,The house is made of wood.
3567,Plants cook their own food through photosynthesis.,Animals cook their own food through photosynthesis.
3568,He put on sneakers to go for a swim.,He put on sneakers to go for a run.
3569,She put on her jacket.,She put her dog
3570,Phone stores can be found inside salesmen.,Salesmen can be found inside a store.
3571,Weeds grow in a garden,Weeds grow in a sink
3572,Books are for riding,Books are for reading
3573,The doctor sleeps at the circus tent,The doctor sleeps at the hospital
3574,You are likely to find an anemone on a street corner.,You are likely to find an anemone in the ocean shallows.
3575,She wore a woolly hat on a hot day,She wore shorts on a hot day
3576,A gun is a kind of weapon.,A sponge is a kind of weapon.
3577,I saw sharks in the ocean.,I saw bears in the ocean.
3578,The child cried when she lost the race.,The rock cried when she lost the race
3579,Roses are pretty chickens,Roses are pretty flowers
3580,River is flowing still while there is no water.,River is flowing down the narrow path.
3581,Google is a search engine that has been around since the mid to late 90's,Google is a pornographic website that has been around since the mid to late 90's
3582,A boat floats on water.,A boat floats on air.
3583,"The tea was too astringent, and needed to cool down","The tea was too hot, and needed to cool down"
3584,The man had a fast turtle.,The man had a fast car.
3585,she took a lion in the tub,She took a bath in the tub
3586,I went to the art museum to by lemons,I went to the grocery store to buy lemons
3587,Thunder happens with lightning always in the nights.,Thunder comes after lightning always in the nights.
3588,A banana is a fruit,A monkey is a fruit
3589,The boy dipped his cookie in milk.,The boy dipped his cookie in paint thinner.
3590,"If a person stopped breathing, they would eventually die","If a person stopped blinking, they would eventually die"
